prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
4ecbd8a26452323a:assists:3.5:over,Nicolas Claxton,assists,3.5,-127,PASS,-0.0448,0.16,3.5,0.5146,,,UNKNOWN,,,,0,,0,,0
4ecbd8a26452323a:assists:3.5:under,Nicolas Claxton,assists,3.5,-106,PASS,-0.0292,0.16,3.5,0.4854,,,UNKNOWN,,,,0,,0,,0
3cfc8bdeebb00461:assists:6.5:over,Tyrese Maxey,assists,6.5,-122,PASS,-0.0357,0.16,6.57,0.5139,,,UNKNOWN,,,,0,,0,,0
3cfc8bdeebb00461:assists:6.5:under,Tyrese Maxey,assists,6.5,-109,PASS,-0.0354,0.16,6.57,0.4861,,,UNKNOWN,,,,0,,0,,0
7cf633d771671707:assists:3.5:over,Michael Porter Jr,assists,3.5,128,PASS,-0.0114,0.16,3.43,0.4272,,,UNKNOWN,,,,0,,0,,0
7cf633d771671707:assists:3.5:under,Michael Porter Jr,assists,3.5,-175,PASS,-0.0636,0.16,3.43,0.5728,,,UNKNOWN,,,,0,,0,,0
e8e371aa543245b3:assists:3.5:over,VJ Edgecombe,assists,3.5,-127,PASS,-0.0406,0.06,3.54,0.5188,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
e8e371aa543245b3:assists:3.5:under,VJ Edgecombe,assists,3.5,-106,PASS,-0.0334,0.06,3.54,0.4812,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
13241614e2363f7b:assists:3.5:over,Egor Demin,assists,3.5,102,PASS,-0.0216,0.16,3.5,0.4735,,,UNKNOWN,,,,0,,0,,0
13241614e2363f7b:assists:3.5:under,Egor Demin,assists,3.5,-136,PASS,-0.0497,0.16,3.5,0.5265,,,UNKNOWN,,,,0,,0,,0
232d2c6cb0f702e0:assists:3.5:over,Joel Embiid,assists,3.5,116,PASS,-0.0061,0.11,3.54,0.4568,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
232d2c6cb0f702e0:assists:3.5:under,Joel Embiid,assists,3.5,-155,PASS,-0.0647,0.11,3.54,0.5432,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
17c40c7eb7c61bc4:assists:3.5:over,Paul George,assists,3.5,104,PASS,-0.0148,0.16,3.54,0.4754,,,UNKNOWN,,,,0,,0,,0
17c40c7eb7c61bc4:assists:3.5:under,Paul George,assists,3.5,-137,PASS,-0.0535,0.16,3.54,0.5246,,,UNKNOWN,,,,0,,0,,0
4ecbd8a26452323a:points:13.5:over,Nicolas Claxton,points,13.5,-112,PASS,-0.0339,0.16,13.5,0.4944,,,UNKNOWN,,,,0,,0,,0
4ecbd8a26452323a:points:13.5:under,Nicolas Claxton,points,13.5,-120,PASS,-0.0399,0.16,13.5,0.5056,,,UNKNOWN,,,,0,,0,,0
e8e371aa543245b3:points:14.5:over,VJ Edgecombe,points,14.5,-104,PASS,-0.0225,0.06,14.64,0.4873,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
e8e371aa543245b3:points:14.5:under,VJ Edgecombe,points,14.5,-129,PASS,-0.0506,0.06,14.64,0.5127,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
13241614e2363f7b:points:9.5:over,Egor Demin,points,9.5,-107,PASS,-0.0289,0.16,9.5,0.488,,,UNKNOWN,,,,0,,0,,0
13241614e2363f7b:points:9.5:under,Egor Demin,points,9.5,-124,PASS,-0.0416,0.16,9.5,0.512,,,UNKNOWN,,,,0,,0,,0
232d2c6cb0f702e0:points:22.5:over,Joel Embiid,points,22.5,-121,PASS,-0.035,0.11,22.73,0.5125,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
232d2c6cb0f702e0:points:22.5:under,Joel Embiid,points,22.5,-110,PASS,-0.0363,0.11,22.73,0.4875,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
