player_name,prop_type,line,date,pick,edge,confidence,projection,probability,model_probability,odds,actual,result,source
Aaron Nesmith,assists,1.5,2024-10-23,PASS,-0.0084,0.16,1.5,0.4588,0.5,114,0.0,,nba_historical_cache
Aaron Nesmith,points,10.5,2024-10-23,PASS,-0.0413,0.16,10.5,0.5142,0.5,-125,7.0,,nba_historical_cache
Aaron Nesmith,pra,16.5,2024-10-23,PASS,-0.0384,0.16,16.5,0.5071,0.5,-120,9.0,,nba_historical_cache
Aaron Nesmith,rebounds,4.5,2024-10-23,PASS,-0.0046,0.16,4.5,0.4499,0.5,120,2.0,,nba_historical_cache
Aaron Nesmith,threes,1.5,2024-10-23,PASS,-0.0597,0.16,1.5,0.5557,0.5,-160,1.0,,nba_historical_cache
Aaron Nesmith,points,10.5,2024-10-23,PASS,-0.0139,0.16,10.5,0.4763,0.5,104,7.0,,nba_historical_cache
Aaron Nesmith,rebounds,4.5,2024-10-23,PASS,0.0086,0.16,4.5,0.4323,0.5,136,2.0,,nba_historical_cache
Aaron Nesmith,threes,1.5,2024-10-23,PASS,-0.0421,0.16,1.5,0.5232,0.5,-130,1.0,,nba_historical_cache
Aaron Nesmith,points,10.5,2024-10-23,PASS,-0.0214,0.16,10.5,0.4786,0.5,100,7.0,,nba_historical_cache
Aaron Nesmith,rebounds,4.5,2024-10-23,PASS,0.0011,0.16,4.5,0.4359,0.5,130,2.0,,nba_historical_cache
Aaron Nesmith,threes,1.5,2024-10-23,PASS,-0.0539,0.16,1.5,0.5379,0.5,-145,1.0,,nba_historical_cache
Aaron Nesmith,assists,1.5,2024-10-23,PASS,-0.0154,0.16,1.5,0.4563,0.5,112,0.0,,nba_historical_cache
Aaron Nesmith,points,9.5,2024-10-23,PASS,-0.0485,0.16,9.5,0.5186,0.5,-131,7.0,,nba_historical_cache
Aaron Nesmith,pra,15.5,2024-10-23,PASS,-0.0406,0.16,15.5,0.5028,0.5,-119,9.0,,nba_historical_cache
