prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,market_over_odds,market_prob,market_under_odds,reason
4ecbd8a26452323a:assists:3.5:over,4ecbd8a26452323a,Nicolas Claxton,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,3.5,0.5304,0.5,0.55,0.5221,-0.029,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,,0,0,0,,,,,PASS,-127,0.0717,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
4ecbd8a26452323a:assists:3.5:under,4ecbd8a26452323a,Nicolas Claxton,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,3.5,0.4996,0.5,0.55,0.4779,-0.0126,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,,0,0,0,,,,,PASS,-105,0.0717,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
3cfc8bdeebb00461:assists:6.5:over,3cfc8bdeebb00461,Tyrese Maxey,assists,over,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,6.86,0.5749,0.5832,0.6915,0.5249,0.0116,0.3064,LOW,"{'team_usage': 1.045, 'home': 1.01}","usage boost (injuries), home",0.0,0.0,0.0,FLAT,,,,,2,3,1,Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Trendon Watford (Injury/Illness - Left Adductor; Strain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Teammates OUT: 2; Teammates Q: 3,PASS,-129,0.0731,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
3cfc8bdeebb00461:assists:6.5:under,3cfc8bdeebb00461,Tyrese Maxey,assists,under,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,6.86,0.4551,0.4168,0.4085,0.4751,-0.0547,0.16,LOW,"{'team_usage': 1.045, 'home': 1.01}","usage boost (injuries), home",0.0,0.0,0.0,FLAT,,,,,2,3,1,Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Trendon Watford (Injury/Illness - Left Adductor; Strain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Teammates OUT: 2; Teammates Q: 3,PASS,-104,0.0731,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
7cf633d771671707:assists:2.5:over,7cf633d771671707,Michael Porter Jr,assists,over,2.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,,,2.56,0.6148,0.524,0.5908,0.625,-0.0519,0.16,LOW,"{'team_usage': 1.045, 'pace': 0.98}","usage boost (injuries), slow pace",0.0,0.0,0.0,FLAT,,,,,3,0,2,"Haywood Highsmith (Injury/Illness - Right Knee; Surgery, Injury Recovery); Drake Powell (Injury/Illness - Right Ankle; Sprain); Cam Thomas (Injury/Illness - Left Hamstring; Strain)",,Terance Mann (Injury/Illness - N/a; Illness); Ben Saraf (Injury/Illness - Right Ankle; Sprain),Teammates OUT: 3,PASS,-200,0.0667,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
7cf633d771671707:assists:2.5:under,7cf633d771671707,Michael Porter Jr,assists,under,2.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,,,2.56,0.4152,0.476,0.5092,0.375,0.0152,0.16,LOW,"{'team_usage': 1.045, 'pace': 0.98}","usage boost (injuries), slow pace",0.0,0.0,0.0,FLAT,,,,,3,0,2,"Haywood Highsmith (Injury/Illness - Right Knee; Surgery, Injury Recovery); Drake Powell (Injury/Illness - Right Ankle; Sprain); Cam Thomas (Injury/Illness - Left Hamstring; Strain)",,Terance Mann (Injury/Illness - N/a; Illness); Ben Saraf (Injury/Illness - Right Ankle; Sprain),Teammates OUT: 3,PASS,150,0.0667,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
e8e371aa543245b3:assists:3.5:over,e8e371aa543245b3,VJ Edgecombe,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,3.58,0.5508,0.5332,0.6064,0.527,-0.0144,0.0702,LOW,"{'team_usage': 1.045, 'injury_risk': 0.97, 'home': 1.01}","usage boost (injuries), injury risk, home",0.0,0.0,0.0,FLAT,,,,,2,3,1,Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Trendon Watford (Injury/Illness - Left Adductor; Strain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,PASS,-130,0.0726,0.03,0.36,1.0,1.0,global,1.7,-0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766522247.835479,odds_api,,,,
e8e371aa543245b3:assists:3.5:under,e8e371aa543245b3,VJ Edgecombe,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,3.58,0.4792,0.4668,0.4936,0.473,-0.0282,0.06,LOW,"{'team_usage': 1.045, 'injury_risk': 0.97, 'home': 1.01}","usage boost (injuries), injury risk, home",0.0,0.0,0.0,FLAT,,,,,2,3,1,Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Trendon Watford (Injury/Illness - Left Adductor; Strain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,PASS,-103,0.0726,0.03,0.36,1.0,1.0,global,1.7,-0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766522247.835479,odds_api,,,,
13241614e2363f7b:assists:3.5:over,13241614e2363f7b,Egor Demin,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,3.5,0.4913,0.5,0.55,0.4661,-0.0087,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,,0,0,0,,,,,PASS,100,0.0726,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
13241614e2363f7b:assists:3.5:under,13241614e2363f7b,Egor Demin,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,3.5,0.5387,0.5,0.55,0.5339,-0.0339,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,,0,0,0,,,,,PASS,-134,0.0726,0.03,0.36,1.0,1.0,global,1.7,-0.3,,,,1766522247.835479,odds_api,,,,
