prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,odds,market_prob,market_over_odds,market_under_odds,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,injury_status,injury_source,injury_detail,edge_threshold,confidence_threshold,risk_factor,volatility_factor,market_vig,calibration_source,calibration_slope,calibration_intercept,odds_min,odds_max,reason,edge,confidence,pick,odds_fetched_at,odds_source,adjustment_notes,adjustments,confidence_tier,market_probability,model_probability,probability,projection,raw_model_probability,usage_expectation
4ecbd8a26452323a:assists:3.5:over,4ecbd8a26452323a,Nicolas Claxton,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,-129,0.5249341737812177,-129,-104,5.4,5.0,5.066666666666666,FLAT,3.0912061651652345,,,,0,0,0,,,,,,,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
4ecbd8a26452323a:assists:3.5:under,4ecbd8a26452323a,Nicolas Claxton,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,-104,,,,5.4,5.0,5.066666666666666,FLAT,3.0912061651652345,0.4,0.4666666666666667,1,0,0,0,,,,,,,0.0345,0.396,1.0,1.15,0.0731,global,1.7,-0.3,-110,110,,-0.1102,0.4977,PASS,1766524210.4303098,odds_api,"minutes trend, usage trend, extra rest, market divergence","{'minutes_trend': 0.9871, 'usage_trend': 0.9998, 'rest': 1.02}",LOW,0.4751,0.2235,0.3996,5.05,0.3079,
3cfc8bdeebb00461:assists:6.5:over,3cfc8bdeebb00461,Tyrese Maxey,assists,over,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,-130,0.5269568690095846,-130,-103,5.6,6.0,6.4,DOWN,2.494438257849294,,,,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),,,,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
3cfc8bdeebb00461:assists:6.5:under,3cfc8bdeebb00461,Tyrese Maxey,assists,under,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,-103,,,,5.6,6.0,6.4,DOWN,2.494438257849294,0.6,0.5333333333333333,1,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),,,,0.0324,0.3792,1.0,1.08,0.0726,global,1.7,-0.3,-110,110,,-0.0101,0.2,PASS,1766524210.4303098,odds_api,"minutes trend, usage trend, usage boost (injuries), extra rest, home","{'minutes_trend': 0.9966, 'usage_trend': 0.9738, 'team_usage': 1.045, 'rest': 1.02, 'home': 1.01}",LOW,0.473,0.5537,0.4972,6.49,0.5022,Teammates OUT: 2; Teammates Q: 3
7cf633d771671707:assists:2.5:over,7cf633d771671707,Michael Porter Jr,assists,over,2.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,3,False,-185,0.6090534979423868,-185,140,3.8,3.4,3.533333333333333,FLAT,1.577621275493231,,,,3,0,2,"Haywood Highsmith (Injury/Illness - Right Knee; Surgery, Injury Recovery); Drake Powell (Injury/Illness - Right Ankle; Sprain); Cam Thomas (Injury/Illness - Left Hamstring; Strain)",,Terance Mann (Injury/Illness - N/a; Illness); Ben Saraf (Injury/Illness - Right Ankle; Sprain),,,,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
7cf633d771671707:assists:2.5:under,7cf633d771671707,Michael Porter Jr,assists,under,2.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,3,False,140,0.39094650205761317,-185,140,3.8,3.4,3.533333333333333,FLAT,1.577621275493231,,,,3,0,2,"Haywood Highsmith (Injury/Illness - Right Knee; Surgery, Injury Recovery); Drake Powell (Injury/Illness - Right Ankle; Sprain); Cam Thomas (Injury/Illness - Left Hamstring; Strain)",,Terance Mann (Injury/Illness - N/a; Illness); Ben Saraf (Injury/Illness - Right Ankle; Sprain),,,,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
e8e371aa543245b3:assists:3.5:over,e8e371aa543245b3,VJ Edgecombe,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,-127,0.5220573491076799,-127,-105,3.6,3.5,3.533333333333333,FLAT,1.5811388300841898,,,,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
e8e371aa543245b3:assists:3.5:under,e8e371aa543245b3,VJ Edgecombe,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,-105,,,,3.6,3.5,3.533333333333333,FLAT,1.5811388300841898,0.5,0.5333333333333333,-2,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,0.0345,0.396,1.0,1.15,0.0717,global,1.7,-0.3,-110,110,,-0.1736,0.755,PASS,1766524210.4303098,odds_api,"minutes trend, usage trend, usage boost (injuries), injury risk, extra rest, home, market divergence","{'minutes_trend': 1.1386, 'usage_trend': 1.1058, 'team_usage': 1.045, 'injury_risk': 0.97, 'rest': 1.02, 'home': 1.01}",HIGH,0.4779,0.0133,0.3386,4.92,0.1843,Usage up; Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE
13241614e2363f7b:assists:3.5:over,13241614e2363f7b,Egor Demin,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,-103,,,,3.0,3.2,3.466666666666667,FLAT,1.8737959096740262,0.4,0.5333333333333333,-4,0,0,0,,,,,,,0.0345,0.396,1.0,1.15,0.0726,global,1.7,-0.3,-110,110,,-0.0264,0.2,PASS,1766524210.4303098,odds_api,"minutes trend, usage trend, extra rest","{'minutes_trend': 1.016, 'usage_trend': 1.0261, 'rest': 1.02}",LOW,0.473,0.4994,0.481,3.36,0.4703,
13241614e2363f7b:assists:3.5:under,13241614e2363f7b,Egor Demin,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,-130,0.5269568690095846,-103,-130,3.0,3.2,3.466666666666667,FLAT,1.8737959096740262,,,,0,0,0,,,,,,,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
232d2c6cb0f702e0:assists:3.5:over,232d2c6cb0f702e0,Joel Embiid,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,10,False,117,0.429988790175509,117,-157,2.2,2.9,2.8181818181818183,DOWN,1.1972189997378646,,,,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
232d2c6cb0f702e0:assists:3.5:under,232d2c6cb0f702e0,Joel Embiid,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,10,False,-157,0.5700112098244909,117,-157,2.2,2.9,2.8181818181818183,DOWN,1.1972189997378646,,,,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
17c40c7eb7c61bc4:assists:3.5:over,17c40c7eb7c61bc4,Paul George,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,5,False,104,,,,4.0,3.4,3.3636363636363638,UP,1.577621275493231,0.5,0.45454545454545453,1,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),,,,0.0345,0.396,1.0,1.15,0.0683,global,1.7,-0.3,-110,110,,0.085,0.624,OVER,1766524210.4303098,odds_api,"minutes trend, usage trend, usage boost (injuries), extra rest, home, market divergence","{'minutes_trend': 1.15, 'usage_trend': 0.9087, 'team_usage': 1.045, 'rest': 1.02, 'home': 1.01}",MEDIUM,0.4589,0.8467,0.5752,4.21,0.6745,Usage down; Teammates OUT: 2; Teammates Q: 3
17c40c7eb7c61bc4:assists:3.5:under,17c40c7eb7c61bc4,Paul George,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,5,False,-137,0.5411245353159851,104,-137,4.0,3.4,3.3636363636363638,UP,1.577621275493231,,,,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),,,,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
4ecbd8a26452323a:blocks:1.5:over,4ecbd8a26452323a,Nicolas Claxton,blocks,over,1.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,100,,,,1.4,1.3,1.4666666666666666,FLAT,1.2516655570345725,0.3,0.3333333333333333,-1,0,0,0,,,,,,,0.0414,0.444,1.2,1.15,0.0833,global,1.7,-0.3,-110,110,,-0.031,0.18,PASS,1766524210.4303098,odds_api,"minutes trend, usage trend, extra rest, high vig","{'minutes_trend': 0.9871, 'usage_trend': 0.9998, 'rest': 1.02}",LOW,0.4615,0.4864,0.469,1.38,0.4626,
4ecbd8a26452323a:blocks:1.5:under,4ecbd8a26452323a,Nicolas Claxton,blocks,under,1.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,-140,0.5384615384615384,100,-140,1.4,1.3,1.4666666666666666,FLAT,1.2516655570345725,,,,0,0,0,,,,,,,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
232d2c6cb0f702e0:blocks:1.5:over,232d2c6cb0f702e0,Joel Embiid,blocks,over,1.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,10,False,170,0.34553893759669935,170,-235,1.0,1.3,1.2727272727272727,FLAT,1.1595018087284057,,,,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
232d2c6cb0f702e0:blocks:1.5:under,232d2c6cb0f702e0,Joel Embiid,blocks,under,1.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,10,False,-235,0.6544610624033007,170,-235,1.0,1.3,1.2727272727272727,FLAT,1.1595018087284057,,,,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,,,,,,-110,110,ODDS_OUT_OF_RANGE,0.0,0.0,PASS,1766524210.4303098,odds_api,,,,,,,,,
