prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source
b5293a12d6b1625b:assists:3.5:over,b5293a12d6b1625b,Quentin Grimes,assists,over,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,3.23,0.4341,0.4471,0.4341,0.3866,0.3866,144,-186,0.0243,0.17,LOW,"{'minutes_trend': 0.85, 'usage_trend': 0.921, 'expected_usage': 0.9226, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.92), usage boost (injuries), extra rest, high variance",4.0,4.2,4.266666666666667,FLAT,2.043961295567452,0.6,0.6,-2,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Usage down; Expected usage: Joel Embiid RETURN x0.92; Teammates OUT: 4; Teammates Q: 1,0.9226071607213486,Joel Embiid RETURN x0.92,PASS,144,0.0602,0.0345,0.396,1.0,1.15,0.584,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
b5293a12d6b1625b:assists:3.5:under,b5293a12d6b1625b,Quentin Grimes,assists,under,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,3.23,0.4659,0.5529,0.4659,0.6134,0.6134,144,-186,-0.1845,0.17,LOW,"{'minutes_trend': 0.85, 'usage_trend': 0.921, 'expected_usage': 0.9226, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.92), usage boost (injuries), extra rest, high variance",4.0,4.2,4.266666666666667,FLAT,2.043961295567452,0.4,0.4,2,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Usage down; Expected usage: Joel Embiid RETURN x0.92; Teammates OUT: 4; Teammates Q: 1,0.9226071607213486,Joel Embiid RETURN x0.92,PASS,-186,0.0602,0.0345,0.396,1.0,1.15,0.584,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
4e45d282ab40fb92:assists:5.5:over,4e45d282ab40fb92,Cam Spencer,assists,over,5.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,3,False,9.05,0.5704,0.9014,0.5704,0.4456,0.4456,112,-142,0.0987,0.17,LOW,"{'minutes_trend': 1.1404, 'usage_trend': 0.9936, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",8.8,7.3,6.4,UP,2.7507574714370344,0.8,0.6,1,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Teammates OUT: 9,1.0,,PASS,112,0.0585,0.0345,0.396,1.0,1.15,0.5001,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
4e45d282ab40fb92:assists:5.5:under,4e45d282ab40fb92,Cam Spencer,assists,under,5.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,3,False,9.05,0.3296,0.0986,0.3296,0.5544,0.5544,112,-142,-0.2572,0.2608,LOW,"{'minutes_trend': 1.1404, 'usage_trend': 0.9936, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance, market divergence",8.8,7.3,6.4,UP,2.7507574714370344,0.2,0.4,-1,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Teammates OUT: 9,1.0,,PASS,-142,0.0585,0.0345,0.396,1.0,1.15,0.5001,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
3cfc8bdeebb00461:assists:6.5:over,3cfc8bdeebb00461,Tyrese Maxey,assists,over,6.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,6.46,0.4483,0.4943,0.4483,0.4958,0.4958,-111,-115,-0.0778,0.184,LOW,"{'minutes_trend': 0.9915, 'usage_trend': 0.998, 'expected_usage': 0.9825, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.98), usage boost (injuries), extra rest, high variance",5.6,5.8,6.2,DOWN,2.8205594401741574,0.4,0.4666666666666667,-1,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Expected usage: Joel Embiid RETURN x0.98; Teammates OUT: 4; Teammates Q: 1,0.9824754433862514,Joel Embiid RETURN x0.98,PASS,-111,0.061,0.0345,0.396,1.0,1.15,0.4339,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
3cfc8bdeebb00461:assists:6.5:under,3cfc8bdeebb00461,Tyrese Maxey,assists,under,6.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,6.46,0.4517,0.5057,0.4517,0.5042,0.5042,-111,-115,-0.0832,0.184,LOW,"{'minutes_trend': 0.9915, 'usage_trend': 0.998, 'expected_usage': 0.9825, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.98), usage boost (injuries), extra rest, high variance",5.6,5.8,6.2,DOWN,2.8205594401741574,0.6,0.5333333333333333,1,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Expected usage: Joel Embiid RETURN x0.98; Teammates OUT: 4; Teammates Q: 1,0.9824754433862514,Joel Embiid RETURN x0.98,PASS,-115,0.061,0.0345,0.396,1.0,1.15,0.4339,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
232d2c6cb0f702e0:assists:3.5:over,232d2c6cb0f702e0,Joel Embiid,assists,over,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,5,False,3.05,0.4014,0.3379,0.4014,0.4669,0.4669,102,-130,-0.0796,0.085,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0362, 'team_usage': 1.065, 'injury_risk': 0.97, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), injury risk, extra rest, injury risk penalty",2.2,2.5,2.769230769230769,DOWN,1.0801234497346435,0.2,0.3076923076923077,-1,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Teammates OUT: 4; Teammates Q: 1; Player status: QUESTIONABLE,1.0,,PASS,102,0.0603,0.0324,0.3792,1.0,1.08,0.3086,,,-120,120,0.65,,assists,0.3,0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - Right Ankle; Sprain; Illness,1767140362.363274,odds_api
232d2c6cb0f702e0:assists:3.5:under,232d2c6cb0f702e0,Joel Embiid,assists,under,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,5,False,3.05,0.4986,0.6621,0.4986,0.5331,0.5331,102,-130,-0.0566,0.085,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0362, 'team_usage': 1.065, 'injury_risk': 0.97, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), injury risk, extra rest, injury risk penalty",2.2,2.5,2.769230769230769,DOWN,1.0801234497346435,0.8,0.6923076923076923,1,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Teammates OUT: 4; Teammates Q: 1; Player status: QUESTIONABLE,1.0,,PASS,-130,0.0603,0.0324,0.3792,1.0,1.08,0.3086,,,-120,120,0.65,,assists,0.3,0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - Right Ankle; Sprain; Illness,1767140362.363274,odds_api
6bcf4433e1256fa7:assists:1.5:over,6bcf4433e1256fa7,Jared McCain,assists,over,1.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,2.37,0.5002,0.6672,0.5002,0.6226,0.6226,-194,150,-0.1597,0.17,LOW,"{'minutes_trend': 1.1048, 'usage_trend': 1.0186, 'expected_usage': 0.931, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.93), usage boost (injuries), extra rest, high variance",2.2,2.4,2.4,FLAT,2.011080417199781,0.5,0.5333333333333333,-2,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Expected usage: Joel Embiid RETURN x0.93; Teammates OUT: 4; Teammates Q: 1,0.9309863188387879,Joel Embiid RETURN x0.93,PASS,-194,0.0599,0.0345,0.396,1.0,1.15,1.3407,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
6bcf4433e1256fa7:assists:1.5:under,6bcf4433e1256fa7,Jared McCain,assists,under,1.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,2.37,0.3998,0.3328,0.3998,0.3774,0.3774,-194,150,-0.0002,0.1703,LOW,"{'minutes_trend': 1.1048, 'usage_trend': 1.0186, 'expected_usage': 0.931, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.93), usage boost (injuries), extra rest, high variance",2.2,2.4,2.4,FLAT,2.011080417199781,0.5,0.4666666666666667,2,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Expected usage: Joel Embiid RETURN x0.93; Teammates OUT: 4; Teammates Q: 1,0.9309863188387879,Joel Embiid RETURN x0.93,PASS,150,0.0599,0.0345,0.396,1.0,1.15,1.3407,,,-120,120,0.65,,assists,0.3,0.3,,,,1767140362.363274,odds_api
