prop_id,player_id,player_name,prop_type,side,line,projection,probability,edge,confidence,pick,odds,injury_status,injury_source,injury_detail
8a59c926ad0214ec:assists:7.5:over,8a59c926ad0214ec,Darius Garland,assists,over,7.5,6.58,0.2869,-0.2009,0.4262,PASS,105,,,
8a59c926ad0214ec:assists:7.5:under,8a59c926ad0214ec,Darius Garland,assists,under,7.5,6.58,0.7131,0.1315,0.4262,UNDER,-139,,,
facb6803046eab5c:assists:3.5:over,facb6803046eab5c,Brandon Miller,assists,over,3.5,4.19,0.7458,0.1983,0.4916,OVER,-121,,,
facb6803046eab5c:assists:3.5:under,facb6803046eab5c,Brandon Miller,assists,under,3.5,4.19,0.2542,-0.2696,0.4916,PASS,-110,,,
440168766d15343b:assists:3.5:over,440168766d15343b,Kon Knueppel,assists,over,3.5,3.5,0.5,-0.0238,0.2,PASS,-110,,,
440168766d15343b:assists:3.5:under,440168766d15343b,Kon Knueppel,assists,under,3.5,3.5,0.5,-0.0475,0.2,PASS,-121,,,
2a4f649870db0148:assists:3.5:over,2a4f649870db0148,Miles Bridges,assists,over,3.5,3.5,0.5,0.0726,0.2,PASS,134,,,
2a4f649870db0148:assists:3.5:under,2a4f649870db0148,Miles Bridges,assists,under,3.5,3.5,0.5,-0.1364,0.2,PASS,-175,,,
335aba9590921564:assists:3.5:over,335aba9590921564,Lonzo Ball,assists,over,3.5,3.5,0.5,-0.1139,0.2,PASS,-159,,,
335aba9590921564:assists:3.5:under,335aba9590921564,Lonzo Ball,assists,under,3.5,3.5,0.5,0.0434,0.2,PASS,119,,,
220e544c0e1716ed:assists:5.5:over,220e544c0e1716ed,Donovan Mitchell,assists,over,5.5,5.42,0.4778,-0.0874,0.15,PASS,-130,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
220e544c0e1716ed:assists:5.5:under,220e544c0e1716ed,Donovan Mitchell,assists,under,5.5,5.42,0.5222,0.0148,0.15,PASS,-103,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
