prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source
4d4ec8bd2a6a6c99:assists:4.5:over,4d4ec8bd2a6a6c99,Jaime Jaquez Jr,assists,over,4.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,4.8,0.5987,0.5746,0.5987,0.5331,0.5331,-130,102,0.0335,0.2,LOW,"{'minutes_trend': 1.1224, 'usage_trend': 1.0067, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",3.2,3.5,4.266666666666667,DOWN,1.5811388300841898,0.3,0.4666666666666667,-1,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,-130,0.0603,0.0324,0.3792,1.0,1.08,0.3514,,,-120,120,0.65,,assists,0.8,0.139023,AVAILABLE,NBA Official Report,Injury/Illness - Left Calf; Soreness,1766793284.2503738,odds_api
4d4ec8bd2a6a6c99:assists:4.5:under,4d4ec8bd2a6a6c99,Jaime Jaquez Jr,assists,under,4.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,4.8,0.4793,0.4254,0.4793,0.4669,0.4669,-130,102,-0.0157,0.2,LOW,"{'minutes_trend': 1.1224, 'usage_trend': 1.0067, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",3.2,3.5,4.266666666666667,DOWN,1.5811388300841898,0.7,0.5333333333333333,1,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,102,0.0603,0.0324,0.3792,1.0,1.08,0.3514,,,-120,120,0.65,,assists,0.8,0.139023,AVAILABLE,NBA Official Report,Injury/Illness - Left Calf; Soreness,1766793284.2503738,odds_api
938d8e1c6776330d:assists:2.5:over,938d8e1c6776330d,Andrew Wiggins,assists,over,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,2.42,0.5199,0.4761,0.5199,0.5715,0.5715,-154,120,-0.0864,0.17,LOW,"{'minutes_trend': 0.9691, 'usage_trend': 0.867, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance",2.4,2.9,3.066666666666667,DOWN,1.286683937707919,0.5,0.6,-1,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Usage down; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,-154,0.0608,0.0345,0.396,1.0,1.15,0.5147,,,-120,120,0.65,,assists,0.8,0.139023,AVAILABLE,NBA Official Report,Injury/Illness - Lower Back; Pain,1766793284.2503738,odds_api
938d8e1c6776330d:assists:2.5:under,938d8e1c6776330d,Andrew Wiggins,assists,under,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,2.42,0.5581,0.5239,0.5581,0.4285,0.4285,-154,120,0.1036,0.17,LOW,"{'minutes_trend': 0.9691, 'usage_trend': 0.867, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance",2.4,2.9,3.066666666666667,DOWN,1.286683937707919,0.5,0.4,1,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Usage down; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,120,0.0608,0.0345,0.396,1.0,1.15,0.5147,,,-120,120,0.65,,assists,0.8,0.139023,AVAILABLE,NBA Official Report,Injury/Illness - Lower Back; Pain,1766793284.2503738,odds_api
3edc1f6904fc5558:assists:7.5:over,3edc1f6904fc5558,Davion Mitchell,assists,over,7.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,8.66,0.6633,0.6554,0.6633,0.4333,0.4333,118,-150,0.2046,0.294,LOW,"{'minutes_trend': 1.0443, 'usage_trend': 1.1262, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, market divergence",6.0,7.7,7.333333333333333,DOWN,2.9078437983419185,0.6,0.4666666666666667,-1,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Usage up; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,118,0.0587,0.0324,0.3792,1.0,1.08,0.3877,,,-120,120,0.65,,assists,0.8,0.139023,AVAILABLE,NBA Official Report,Injury/Illness - Left Ankle; Sprain,1766793284.2503738,odds_api
3edc1f6904fc5558:assists:7.5:under,3edc1f6904fc5558,Davion Mitchell,assists,under,7.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,8.66,0.4147,0.3446,0.4147,0.5667,0.5667,118,-150,-0.1853,0.2,LOW,"{'minutes_trend': 1.0443, 'usage_trend': 1.1262, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",6.0,7.7,7.333333333333333,DOWN,2.9078437983419185,0.4,0.5333333333333333,1,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Usage up; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,-150,0.0587,0.0324,0.3792,1.0,1.08,0.3877,,,-120,120,0.65,,assists,0.8,0.139023,AVAILABLE,NBA Official Report,Injury/Illness - Left Ankle; Sprain,1766793284.2503738,odds_api
8f000e294202436b:assists:6.5:over,8f000e294202436b,Jalen Johnson,assists,over,6.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,10.1,0.8434,0.8804,0.8434,0.5239,0.5239,-125,-102,0.2878,0.5686,MEDIUM,"{'minutes_trend': 0.973, 'usage_trend': 1.0574, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance, market divergence",9.2,10.0,9.733333333333333,DOWN,3.0550504633038935,0.9,0.9333333333333333,2,6,0,0,N'Faly Dante (Injury/Illness - Right Knee; Torn ACL); Nikola Djurisic (G League - On Assignment); Caleb Houstan (G League - Two-Way); Eli John Ndiaye (G League - Two-Way); Kristaps Porzingis (Injury/Illness - N/A; Illness); Malik Williams (G League - Two-Way),,,Usage up; Teammates OUT: 6,1.0,,OVER,-125,0.0605,0.0345,0.396,1.0,1.15,0.47,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api
8f000e294202436b:assists:6.5:under,8f000e294202436b,Jalen Johnson,assists,under,6.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,10.1,0.2347,0.1196,0.2347,0.4761,0.4761,-125,-102,-0.2703,0.4394,LOW,"{'minutes_trend': 0.973, 'usage_trend': 1.0574, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance, market divergence",9.2,10.0,9.733333333333333,DOWN,3.0550504633038935,0.1,0.06666666666666667,-2,6,0,0,N'Faly Dante (Injury/Illness - Right Knee; Torn ACL); Nikola Djurisic (G League - On Assignment); Caleb Houstan (G League - Two-Way); Eli John Ndiaye (G League - Two-Way); Kristaps Porzingis (Injury/Illness - N/A; Illness); Malik Williams (G League - Two-Way),,,Usage up; Teammates OUT: 6,1.0,,PASS,-102,0.0605,0.0345,0.396,1.0,1.15,0.47,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api
7bdc51ef1c7178b3:assists:2.5:over,7bdc51ef1c7178b3,Norman Powell,assists,over,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,3.81,0.8029,0.8299,0.8029,0.5331,0.5331,-130,102,0.2377,0.4635,LOW,"{'minutes_trend': 1.0869, 'usage_trend': 0.9738, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance, market divergence",3.6,3.1,2.8,UP,1.3703203194062978,0.7,0.6,3,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Teammates OUT: 5,1.0,,OVER,-130,0.0603,0.0345,0.396,1.0,1.15,0.5481,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api
7bdc51ef1c7178b3:assists:2.5:under,7bdc51ef1c7178b3,Norman Powell,assists,under,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,3.81,0.2751,0.1701,0.2751,0.4669,0.4669,-130,102,-0.22,0.3823,LOW,"{'minutes_trend': 1.0869, 'usage_trend': 0.9738, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance",3.6,3.1,2.8,UP,1.3703203194062978,0.3,0.4,-3,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Teammates OUT: 5,1.0,,PASS,102,0.0603,0.0345,0.396,1.0,1.15,0.5481,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api
