prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail
8a59c926ad0214ec:assists:7.5:over,8a59c926ad0214ec,Darius Garland,assists,over,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,8.25,0.5893,0.6463,0.4562,0.1015,0.2,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,105,,,
8a59c926ad0214ec:assists:7.5:under,8a59c926ad0214ec,Darius Garland,assists,under,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,8.25,0.4107,0.3537,0.5438,-0.1709,0.2,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-139,,,
facb6803046eab5c:assists:3.5:over,facb6803046eab5c,Brandon Miller,assists,over,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,3,False,4.95,0.6643,0.73,0.5111,0.1168,0.3286,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-121,,,
facb6803046eab5c:assists:3.5:under,facb6803046eab5c,Brandon Miller,assists,under,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,3,False,4.95,0.3357,0.27,0.4889,-0.1881,0.3286,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-110,,,
440168766d15343b:assists:3.5:over,440168766d15343b,Kon Knueppel,assists,over,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,3.5,0.4967,0.5,0.4889,-0.0271,0.16,LOW,,,PASS,-110,,,
440168766d15343b:assists:3.5:under,440168766d15343b,Kon Knueppel,assists,under,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,3.5,0.5033,0.5,0.5111,-0.0442,0.16,LOW,,,PASS,-121,,,
2a4f649870db0148:assists:3.5:over,2a4f649870db0148,Miles Bridges,assists,over,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,,,3.5,0.4705,0.5,0.4018,0.0432,0.16,LOW,,,PASS,134,,,
2a4f649870db0148:assists:3.5:under,2a4f649870db0148,Miles Bridges,assists,under,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,,,3.5,0.5295,0.5,0.5982,-0.1069,0.16,LOW,,,PASS,-175,,,
335aba9590921564:assists:3.5:over,335aba9590921564,Lonzo Ball,assists,over,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,3.5,0.522,0.5,0.5735,-0.0919,0.16,LOW,,,PASS,-159,,,
335aba9590921564:assists:3.5:under,335aba9590921564,Lonzo Ball,assists,under,3.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,3.5,0.478,0.5,0.4265,0.0213,0.16,LOW,,,PASS,119,,,
220e544c0e1716ed:assists:5.5:over,220e544c0e1716ed,Donovan Mitchell,assists,over,5.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,6,False,5.75,0.5426,0.5493,0.527,-0.0226,0.15,LOW,"{'minutes_trend': 1.0077, 'usage_trend': 1.031, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-130,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
220e544c0e1716ed:assists:5.5:under,220e544c0e1716ed,Donovan Mitchell,assists,under,5.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,6,False,5.75,0.4574,0.4507,0.473,-0.05,0.15,LOW,"{'minutes_trend': 1.0077, 'usage_trend': 1.031, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-103,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
a7dee1eef19c56f4:assists:7.5:over,a7dee1eef19c56f4,LaMelo Ball,assists,over,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,,,7.5,0.4991,0.5,0.497,-0.0336,0.11,LOW,,,PASS,-114,PROBABLE,NBA Official Report,Injury/Illness - Right Wrist; Soreness
a7dee1eef19c56f4:assists:7.5:under,a7dee1eef19c56f4,LaMelo Ball,assists,under,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,,,7.5,0.5009,0.5,0.503,-0.0383,0.11,LOW,,,PASS,-117,PROBABLE,NBA Official Report,Injury/Illness - Right Wrist; Soreness
b08b695cba57a107:points:7.5:over,b08b695cba57a107,Ryan Kalkbrenner,points,over,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,7.5,0.4943,0.5,0.4808,-0.0203,0.06,LOW,,,PASS,-106,QUESTIONABLE,NBA Official Report,Injury/Illness - Left Elbow; Sprain
b08b695cba57a107:points:7.5:under,b08b695cba57a107,Ryan Kalkbrenner,points,under,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,7.5,0.5057,0.5,0.5192,-0.0498,0.06,LOW,,,PASS,-125,QUESTIONABLE,NBA Official Report,Injury/Illness - Left Elbow; Sprain
220e544c0e1716ed:points:30.5:over,220e544c0e1716ed,Donovan Mitchell,points,over,30.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,6,False,32.61,0.543,0.5745,0.4694,0.043,0.15,LOW,"{'minutes_trend': 1.0077, 'usage_trend': 1.031, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,100,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
220e544c0e1716ed:points:30.5:under,220e544c0e1716ed,Donovan Mitchell,points,under,30.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,6,False,32.61,0.457,0.4255,0.5306,-0.1082,0.15,LOW,"{'minutes_trend': 1.0077, 'usage_trend': 1.031, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-130,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
1632dad36b5e936c:points:6.5:over,1632dad36b5e936c,Dean Wade,points,over,6.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,4.68,0.397,0.3516,0.503,-0.1422,0.206,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-117,,,
1632dad36b5e936c:points:6.5:under,1632dad36b5e936c,Dean Wade,points,under,6.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,4,False,4.68,0.603,0.6484,0.497,0.0703,0.206,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-114,,,
e300be223d9124fe:points:5.5:over,e300be223d9124fe,Sion James,points,over,5.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,5.5,0.4925,0.5,0.4751,-0.0173,0.16,LOW,,,PASS,-104,,,
e300be223d9124fe:points:5.5:under,e300be223d9124fe,Sion James,points,under,5.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,5.5,0.5075,0.5,0.5249,-0.0558,0.16,LOW,,,PASS,-129,,,
facb6803046eab5c:points:19.5:over,facb6803046eab5c,Brandon Miller,points,over,19.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,3,False,22.59,0.628,0.6842,0.497,0.0953,0.256,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-114,,,
facb6803046eab5c:points:19.5:under,facb6803046eab5c,Brandon Miller,points,under,19.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CHA,,,3,False,22.59,0.372,0.3158,0.503,-0.1672,0.256,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-117,,,
0fcc97fb82556cb2:points:13.5:over,0fcc97fb82556cb2,Jaylon Tyson,points,over,13.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,,,13.5,0.5048,0.5,0.516,-0.0488,0.16,LOW,,,PASS,-124,,,
0fcc97fb82556cb2:points:13.5:under,0fcc97fb82556cb2,Jaylon Tyson,points,under,13.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,CLE,,,,,13.5,0.4952,0.5,0.484,-0.024,0.16,LOW,,,PASS,-108,,,
9ea8ae204f976e4e:points:7.5:over,9ea8ae204f976e4e,Sam Merrill,points,over,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,7.5,0.4952,0.5,0.484,-0.024,0.11,LOW,,,PASS,-108,PROBABLE,NBA Official Report,Injury/Illness - Right Hand; Sprain
9ea8ae204f976e4e:points:7.5:under,9ea8ae204f976e4e,Sam Merrill,points,under,7.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,7.5,0.5048,0.5,0.516,-0.0488,0.11,LOW,,,PASS,-124,PROBABLE,NBA Official Report,Injury/Illness - Right Hand; Sprain
440168766d15343b:points:18.5:over,440168766d15343b,Kon Knueppel,points,over,18.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,18.5,0.5024,0.5,0.508,-0.0431,0.16,LOW,,,PASS,-120,,,
440168766d15343b:points:18.5:under,440168766d15343b,Kon Knueppel,points,under,18.5,4748a28fab48f8c9a17c947771fd53f5,Cleveland Cavaliers,Charlotte Hornets,2025-12-23 00:10:00+00:00,,,,,,18.5,0.4976,0.5,0.492,-0.0307,0.16,LOW,,,PASS,-112,,,
