prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail
2a4f649870db0148:assists:3.5:over,2a4f649870db0148,Miles Bridges,assists,over,3.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,,,3.5,0.4725,0.5,0.4085,0.0378,0.16,LOW,,,PASS,130,,,
2a4f649870db0148:assists:3.5:under,2a4f649870db0148,Miles Bridges,assists,under,3.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,,,3.5,0.5275,0.5,0.5915,-0.1022,0.16,LOW,,,PASS,-170,,,
220e544c0e1716ed:assists:5.5:over,220e544c0e1716ed,Donovan Mitchell,assists,over,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,5.55,0.508,0.5158,0.4899,-0.0158,0.16,LOW,{'home': 1.01},home,PASS,-110,,,
220e544c0e1716ed:assists:5.5:under,220e544c0e1716ed,Donovan Mitchell,assists,under,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,5.55,0.492,0.4842,0.5101,-0.0535,0.16,LOW,{'home': 1.01},home,PASS,-120,,,
a7dee1eef19c56f4:assists:7.5:over,a7dee1eef19c56f4,LaMelo Ball,assists,over,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,,,7.5,0.503,0.5,0.5101,-0.0424,0.16,LOW,,,PASS,-120,,,
a7dee1eef19c56f4:assists:7.5:under,a7dee1eef19c56f4,LaMelo Ball,assists,under,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,,,7.5,0.497,0.5,0.4899,-0.0268,0.16,LOW,,,PASS,-110,,,
8a59c926ad0214ec:assists:7.5:over,8a59c926ad0214ec,Darius Garland,assists,over,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,8.33,0.5941,0.6616,0.4367,0.129,0.2,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",PASS,115,,,
8a59c926ad0214ec:assists:7.5:under,8a59c926ad0214ec,Darius Garland,assists,under,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,8.33,0.4059,0.3384,0.5633,-0.1941,0.2,LOW,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",PASS,-150,,,
facb6803046eab5c:assists:3.5:over,facb6803046eab5c,Brandon Miller,assists,over,3.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,4.95,0.6487,0.73,0.4592,0.1609,0.2975,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,105,,,
facb6803046eab5c:assists:3.5:under,facb6803046eab5c,Brandon Miller,assists,under,3.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,4.95,0.3513,0.27,0.5408,-0.2232,0.2975,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-135,,,
