prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source
08937c7231a9a619:assists:3.5:over,08937c7231a9a619,Cooper Flagg,assists,over,3.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,5.48,0.5375,0.7915,0.5375,0.5851,0.5851,-166,126,-0.0866,0.17,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense, high variance",5.4,4.8,4.466666666666667,UP,2.440400695696417,0.6,0.4666666666666667,3,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,-166,0.0665,0.0345,0.396,1.0,1.15,0.6973,,,-120,120,0.65,,assists,0.3,0.3,,,,1766879293.779658,odds_api
08937c7231a9a619:assists:3.5:under,08937c7231a9a619,Cooper Flagg,assists,under,3.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,5.48,0.3625,0.2085,0.3625,0.4149,0.4149,-166,126,-0.0799,0.2337,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense, high variance",5.4,4.8,4.466666666666667,UP,2.440400695696417,0.4,0.5333333333333333,-3,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,126,0.0665,0.0345,0.396,1.0,1.15,0.6973,,,-120,120,0.65,,assists,0.3,0.3,,,,1766879293.779658,odds_api
75bb0beb4aef286b:points:13.5:over,75bb0beb4aef286b,Naji Marshall,points,over,13.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,19.39,0.5981,0.9935,0.5981,0.5101,0.5101,-120,-110,0.0526,0.2,LOW,"{'minutes_trend': 1.0152, 'usage_trend': 1.1302, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense",16.4,16.5,15.2,UP,2.3687784005919825,1.0,0.8,10,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Usage up; Teammates OUT: 6,1.0,,PASS,-120,0.0693,0.03,0.36,1.0,1.0,0.1755,,,-120,120,0.65,,points,0.3,0.3,,,,1766879293.779658,odds_api
75bb0beb4aef286b:points:13.5:under,75bb0beb4aef286b,Naji Marshall,points,under,13.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,19.39,0.3019,0.0065,0.3019,0.4899,0.4899,-120,-110,-0.2219,0.3961,LOW,"{'minutes_trend': 1.0152, 'usage_trend': 1.1302, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense",16.4,16.5,15.2,UP,2.3687784005919825,0.0,0.2,-10,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Usage up; Teammates OUT: 6,1.0,,PASS,-110,0.0693,0.03,0.36,1.0,1.0,0.1755,,,-120,120,0.65,,points,0.3,0.3,,,,1766879293.779658,odds_api
08937c7231a9a619:points:22.5:over,08937c7231a9a619,Cooper Flagg,points,over,22.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,25.86,0.4988,0.6628,0.4988,0.4808,0.4808,-106,-125,-0.0157,0.2,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense",24.6,24.4,22.666666666666668,UP,7.988881162104129,0.5,0.4666666666666667,2,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,-106,0.0701,0.0324,0.3792,1.0,1.08,0.3551,,,-120,120,0.65,,points,0.3,0.3,,,,1766879293.779658,odds_api
08937c7231a9a619:points:22.5:under,08937c7231a9a619,Cooper Flagg,points,under,22.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,25.86,0.4012,0.3372,0.4012,0.5192,0.5192,-106,-125,-0.1544,0.2,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense",24.6,24.4,22.666666666666668,UP,7.988881162104129,0.5,0.5333333333333333,-2,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,-125,0.0701,0.0324,0.3792,1.0,1.08,0.3551,,,-120,120,0.65,,points,0.3,0.3,,,,1766879293.779658,odds_api
08937c7231a9a619:rebounds:3.5:over,08937c7231a9a619,Cooper Flagg,rebounds,over,3.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,7.77,0.5903,0.9677,0.5903,0.4023,0.4023,132,-178,0.1593,0.17,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense, high variance",7.0,6.0,6.466666666666667,UP,2.309401076758503,0.9,0.9333333333333333,8,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,132,0.0713,0.0328,0.384,0.95,1.15,0.6598,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766879293.779658,odds_api
08937c7231a9a619:rebounds:3.5:under,08937c7231a9a619,Cooper Flagg,rebounds,under,3.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,7.77,0.3097,0.0323,0.3097,0.5977,0.5977,132,-178,-0.3306,0.2912,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense, high variance, market divergence",7.0,6.0,6.466666666666667,UP,2.309401076758503,0.1,0.06666666666666667,-8,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,-178,0.0713,0.0328,0.384,0.95,1.15,0.6598,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766879293.779658,odds_api
08937c7231a9a619:threes:3.5:over,08937c7231a9a619,Cooper Flagg,threes,over,3.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,1.24,0.3099,0.0331,0.3099,0.2457,0.2457,280,-420,0.0468,0.3421,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense, high variance",1.2,0.8,0.7333333333333333,FLAT,1.2292725943057183,0.1,0.06666666666666667,-1,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,280,0.0709,0.0356,0.4032,1.1,1.08,0.3512,,,-120,120,0.65,,threes,0.3,0.3,,,,1766879293.779658,odds_api
08937c7231a9a619:threes:3.5:under,08937c7231a9a619,Cooper Flagg,threes,under,3.5,610fd00419ecae5d7b13dd903de25cbe,SAC,DAL,2025-12-27T22:12:00Z,DAL,SAC,False,2,False,1.24,0.5901,0.9669,0.5901,0.7543,0.7543,280,-420,-0.2176,0.18,LOW,"{'minutes_trend': 1.0562, 'usage_trend': 0.9769, 'team_usage': 1.08, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), soft defense, high variance",1.2,0.8,0.7333333333333333,FLAT,1.2292725943057183,0.9,0.9333333333333333,1,6,0,0,Brandon Williams (Injury/Illness - Left Calf; Contusion); Dereck Lively II (Injury/Illness - Right Foot; Surgery); Miles Kelly (G League - Two-Way); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dante Exum (Injury/Illness - Right Knee; Surgery); Anthony Davis (Injury/Illness - Right Adductor; Soreness),,,Teammates OUT: 6,1.0,,PASS,-420,0.0709,0.0356,0.4032,1.1,1.08,0.3512,,,-120,120,0.65,,threes,0.3,0.3,,,,1766879293.779658,odds_api
edd43e3a6b6d2de3:assists:4.5:over,edd43e3a6b6d2de3,Derik Queen,assists,over,4.5,8f14dde1ee9ee3f5703f21a48c187d74,NOP,PHX,2025-12-28T00:10:00Z,NOP,PHX,True,2,False,5.06,0.4803,0.6009,0.4803,0.4711,0.4711,100,-128,-0.0197,0.184,LOW,"{'minutes_trend': 1.0267, 'usage_trend': 1.1479, 'team_usage': 1.06, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, high variance",4.0,5.2,4.933333333333334,DOWN,2.2010098692292237,0.7,0.6,-1,4,0,0,Trey Alexander (G League - Two-Way); Hunter Dickinson (G League - Two-Way); Herbert Jones (Injury/Illness - Right Ankle; Sprain); Dejounte Murray (Injury/Illness - Right Achilles; Rupture),,,Usage up; Teammates OUT: 4,1.0,,PASS,100,0.0614,0.0345,0.396,1.0,1.15,0.4891,,,-120,120,0.65,,assists,0.3,0.3,,,,1766879293.779658,odds_api
