prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail
231fe865ee873acd:points:8.5:under,231fe865ee873acd,Herb Jones,points,under,8.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:10:00+00:00,NOP,DAL,True,57,False,2.0,0.8494,1.0,0.4979,0.3211,0.559,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, extra rest, home, tough defense",UNDER,-112,,,
231fe865ee873acd:pra:14.5:under,231fe865ee873acd,Herb Jones,pra,under,14.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:10:00+00:00,NOP,DAL,True,57,False,7.99,0.8553,0.9994,0.5192,0.2998,0.5686,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, extra rest, home, tough defense",UNDER,-125,,,
231fe865ee873acd:points:9.5:under,231fe865ee873acd,Herb Jones,points,under,9.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:10:00+00:00,NOP,DAL,True,57,False,2.0,0.862,1.0,0.5399,0.2839,0.5792,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 1.0, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, extra rest, home, tough defense",UNDER,-137,,,
56e46e859e224d01:pra:13.5:under,56e46e859e224d01,Cason Wallace,pra,under,13.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:40:00+00:00,OKC,MEM,True,4,False,9.64,0.7099,0.8043,0.4897,0.1884,0.4199,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-109,,,
56366070652c315d:points:18.5:over,56366070652c315d,Derrick White,points,over,18.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,BOS,IND,True,3,False,25.39,0.7226,0.818,0.5,0.1877,0.4453,LOW,"{'minutes_trend': 1.0414, 'usage_trend': 1.0994, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, extra rest, home, soft defense, slow pace",OVER,-115,,,
56366070652c315d:threes:3.5:over,56366070652c315d,Derrick White,threes,over,3.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,BOS,IND,True,3,False,5.32,0.7178,0.8133,0.495,0.1873,0.4357,LOW,"{'minutes_trend': 1.0414, 'usage_trend': 1.0994, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, extra rest, home, soft defense, slow pace",OVER,-113,,,
56366070652c315d:pra:28.5:over,56366070652c315d,Derrick White,pra,over,28.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,BOS,IND,True,3,False,36.11,0.7038,0.7889,0.5052,0.1667,0.4076,LOW,"{'minutes_trend': 1.0414, 'usage_trend': 1.0994, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, extra rest, home, soft defense, slow pace",OVER,-116,,,
4e45d282ab40fb92:threes:2.5:over,4e45d282ab40fb92,Cam Spencer,threes,over,2.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:40:00+00:00,,,,3,False,4.21,0.7547,0.8323,0.5735,0.1408,0.5094,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-159,,,
8a59c926ad0214ec:rebounds:2.5:over,8a59c926ad0214ec,Darius Garland,rebounds,over,2.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:10:00+00:00,CLE,CHA,True,4,False,4.11,0.7827,0.8594,0.6037,0.1373,0.5653,MEDIUM,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",OVER,-182,,,
56e46e859e224d01:rebounds:3.5:under,56e46e859e224d01,Cason Wallace,rebounds,under,3.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:40:00+00:00,OKC,MEM,True,4,False,2.18,0.7552,0.8266,0.5884,0.1255,0.5103,LOW,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-170,,,
18b51ba0144cbe14:rebounds:5.5:over,18b51ba0144cbe14,Isaiah Jackson,rebounds,over,5.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:40:00+00:00,,,,3,False,8.39,0.7205,0.79,0.5585,0.1238,0.4411,LOW,"{'minutes_trend': 0.9408, 'usage_trend': 1.15, 'rest': 1.02}","minutes trend, usage trend, extra rest",OVER,-148,,,
1632dad36b5e936c:threes:1.5:under,1632dad36b5e936c,Dean Wade,threes,under,1.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:10:00+00:00,CLE,CHA,True,4,False,0.85,0.7018,0.7406,0.6113,0.0466,0.4035,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",UNDER,-190,,,
