prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,injury_status,injury_source,injury_detail
a168fb201860affc:pra:25.5:under,a168fb201860affc,Bennedict Mathurin,pra,under,25.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,19.58,0.5334,0.764,0.4346,0.0661,0.5279,LOW,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, home, soft defense",19.2,23.3,24.466666666666665,DOWN,0.6,0.5333333333333333,2,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,114,,,
a168fb201860affc:points:17.5:under,a168fb201860affc,Bennedict Mathurin,points,under,17.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,12.78,0.5194,0.7402,0.4248,0.0649,0.4803,LOW,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, home, soft defense",11.6,15.6,16.666666666666668,DOWN,0.7,0.6,5,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,120,,,
a168fb201860affc:pra:26.5:under,a168fb201860affc,Bennedict Mathurin,pra,under,26.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,19.58,0.5822,0.7997,0.4889,0.0584,0.5994,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, home, soft defense",19.2,23.3,24.466666666666665,DOWN,0.7,0.6666666666666666,5,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,-110,,,
a168fb201860affc:points:18.5:under,a168fb201860affc,Bennedict Mathurin,points,under,18.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,12.78,0.5705,0.7824,0.4797,0.0583,0.5647,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, home, soft defense",11.6,15.6,16.666666666666668,DOWN,0.7,0.6,5,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,-105,,,
a168fb201860affc:pra:27.5:under,a168fb201860affc,Bennedict Mathurin,pra,under,27.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,19.58,0.621,0.832,0.5306,0.0558,0.664,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, home, soft defense",19.2,23.3,24.466666666666665,DOWN,0.7,0.6666666666666666,5,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,-130,,,
a168fb201860affc:points:19.5:under,a168fb201860affc,Bennedict Mathurin,points,under,19.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,12.78,0.6175,0.8203,0.5306,0.0523,0.6406,MEDIUM,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, home, soft defense",11.6,15.6,16.666666666666668,DOWN,0.8,0.6666666666666666,5,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,-130,,,
a168fb201860affc:points:20.5:under,a168fb201860affc,Bennedict Mathurin,points,under,20.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,12.78,0.6646,0.8538,0.5835,0.0419,0.7076,HIGH,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, home, soft defense",11.6,15.6,16.666666666666668,DOWN,0.8,0.7333333333333333,5,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,-165,,,
dc4d4a4753bb9b68:pra:38.5:under,dc4d4a4753bb9b68,Anthony Edwards,pra,under,38.5,e71e83a0ab574fe87af5567ae09c0fdb,MIN,NYK,2025-12-24T01:10:00Z,MIN,NYK,True,3,False,31.86,0.5476,0.7215,0.473,0.0402,0.4429,LOW,"{'minutes_trend': 0.9805, 'usage_trend': 0.8863, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",34.4,41.0,38.666666666666664,DOWN,0.3,0.4,1,2,0,0,Usage down; Teammates OUT: 2,UNDER,-103,,,
dc4d4a4753bb9b68:assists:4.5:under,dc4d4a4753bb9b68,Anthony Edwards,assists,under,4.5,e71e83a0ab574fe87af5567ae09c0fdb,MIN,NYK,2025-12-24T01:10:00Z,MIN,NYK,True,3,False,3.42,0.635,0.8049,0.5622,0.035,0.6098,MEDIUM,"{'minutes_trend': 0.9805, 'usage_trend': 0.8863, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",3.8,4.3,4.133333333333334,FLAT,0.6,0.6666666666666666,-1,2,0,0,Usage down; Teammates OUT: 2,UNDER,-150,,,
b80f511ba4618264:pra:38.5:over,b80f511ba4618264,Alperen Sengun,pra,over,38.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24T04:10:00Z,HOU,LAC,False,3,False,44.56,0.5468,0.7033,0.4797,0.0346,0.4066,LOW,"{'minutes_trend': 1.0393, 'usage_trend': 1.0581, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, extra rest, soft defense, slow pace",39.4,38.3,38.86666666666667,UP,0.5,0.5333333333333333,-2,2,0,0,Usage up; Teammates OUT: 2,OVER,-105,,,
d1991c3f6dd1389a:rebounds:11.5:over,d1991c3f6dd1389a,Anthony Davis,rebounds,over,11.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,15.01,0.6075,0.7661,0.5396,0.0331,0.5322,LOW,"{'minutes_trend': 1.0979, 'usage_trend': 1.0586, 'home': 1.01}","minutes trend, usage trend, home",13.6,11.5,11.571428571428571,UP,0.6,0.5714285714285714,4,0,0,0,Usage up,OVER,-135,,,
