prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source
d1991c3f6dd1389a:rebounds:13.5:over,d1991c3f6dd1389a,Anthony Davis,rebounds,over,13.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,16.21,0.44,0.7126,0.7126,0.3232,0.0952,0.3826,LOW,"{'minutes_trend': 1.0979, 'usage_trend': 1.0586, 'team_usage': 1.08, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, market divergence",13.6,11.5,11.571428571428571,UP,4.8362060428489695,0.5,0.35714285714285715,4,5,5,0,Usage up; Teammates OUT: 5; Teammates Q: 5,OVER,190,0.067,0.0308,0.3672,0.95,1.08,,,,,,,1766521250.8251789,odds_api
d1991c3f6dd1389a:rebounds:12.5:over,d1991c3f6dd1389a,Anthony Davis,rebounds,over,12.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,16.21,0.5467,0.7787,0.7787,0.4473,0.0705,0.5016,LOW,"{'minutes_trend': 1.0979, 'usage_trend': 1.0586, 'team_usage': 1.08, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, market divergence",13.6,11.5,11.571428571428571,UP,4.8362060428489695,0.6,0.5714285714285714,4,5,5,0,Usage up; Teammates OUT: 5; Teammates Q: 5,OVER,110,0.0647,0.0308,0.3672,0.95,1.08,,,,,,,1766521250.8251789,odds_api
d1991c3f6dd1389a:rebounds:11.5:over,d1991c3f6dd1389a,Anthony Davis,rebounds,over,11.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,16.21,0.6076,0.8351,0.8351,0.5101,0.0622,0.6031,MEDIUM,"{'minutes_trend': 1.0979, 'usage_trend': 1.0586, 'team_usage': 1.08, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, market divergence",13.6,11.5,11.571428571428571,UP,4.8362060428489695,0.6,0.5714285714285714,4,5,5,0,Usage up; Teammates OUT: 5; Teammates Q: 5,OVER,-120,0.0693,0.0328,0.384,0.95,1.15,,,,,,,1766521250.8251789,odds_api
d1991c3f6dd1389a:pra:40.5:over,d1991c3f6dd1389a,Anthony Davis,pra,over,40.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,49.34,0.524,0.7277,0.7277,0.4367,0.0589,0.4098,LOW,"{'minutes_trend': 1.0979, 'usage_trend': 1.0586, 'team_usage': 1.08, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, market divergence",41.2,33.9,35.5,UP,14.594138853967674,0.4,0.35714285714285715,2,5,5,0,Usage up; Teammates OUT: 5; Teammates Q: 5,OVER,115,0.0651,0.034,0.3912,1.05,1.08,,,,,,,1766521250.8251789,odds_api
b80f511ba4618264:pra:39.5:over,b80f511ba4618264,Alperen Sengun,pra,over,39.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24T04:10:00Z,HOU,LAC,False,3,False,45.9,0.5197,0.7135,0.7135,0.4367,0.0546,0.3843,LOW,"{'minutes_trend': 1.0393, 'usage_trend': 1.0581, 'team_usage': 1.03, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace, market divergence",39.4,38.3,38.86666666666667,UP,11.353413583587976,0.5,0.5333333333333333,-2,2,0,0,Usage up; Teammates OUT: 2,OVER,115,0.0651,0.0315,0.372,1.05,1.0,,,,,,,1766521250.8251789,odds_api
d1991c3f6dd1389a:pra:39.5:over,d1991c3f6dd1389a,Anthony Davis,pra,over,39.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,49.34,0.5536,0.7499,0.7499,0.4694,0.0536,0.4499,LOW,"{'minutes_trend': 1.0979, 'usage_trend': 1.0586, 'team_usage': 1.08, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, market divergence",41.2,33.9,35.5,UP,14.594138853967674,0.4,0.42857142857142855,2,5,5,0,Usage up; Teammates OUT: 5; Teammates Q: 5,OVER,100,0.0652,0.034,0.3912,1.05,1.08,,,,,,,1766521250.8251789,odds_api
b80f511ba4618264:pra:38.5:over,b80f511ba4618264,Alperen Sengun,pra,over,38.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24T04:10:00Z,HOU,LAC,False,3,False,45.9,0.5514,0.7427,0.7427,0.4694,0.0514,0.4369,LOW,"{'minutes_trend': 1.0393, 'usage_trend': 1.0581, 'team_usage': 1.03, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace, market divergence",39.4,38.3,38.86666666666667,UP,11.353413583587976,0.5,0.5333333333333333,-2,2,0,0,Usage up; Teammates OUT: 2,OVER,100,0.0652,0.0315,0.372,1.05,1.0,,,,,,,1766521250.8251789,odds_api
d1991c3f6dd1389a:pra:38.5:over,d1991c3f6dd1389a,Anthony Davis,pra,over,38.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,49.34,0.5814,0.7712,0.7712,0.5,0.0486,0.4882,LOW,"{'minutes_trend': 1.0979, 'usage_trend': 1.0586, 'team_usage': 1.08, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, market divergence",41.2,33.9,35.5,UP,14.594138853967674,0.5,0.5,2,5,5,0,Usage up; Teammates OUT: 5; Teammates Q: 5,OVER,-114,0.0654,0.034,0.3912,1.05,1.08,,,,,,,1766521250.8251789,odds_api
a168fb201860affc:points:18.5:under,a168fb201860affc,Bennedict Mathurin,points,under,18.5,fb3afec527051a7bd35ebc862bca8467,IND,MIL,2025-12-24T00:40:00Z,IND,MIL,True,2,False,13.8,0.5575,0.7392,0.7392,0.4797,0.0453,0.4305,LOW,"{'minutes_trend': 1.0, 'usage_trend': 0.85, 'team_usage': 1.08, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), home, soft defense, market divergence",11.6,15.6,16.666666666666668,DOWN,7.3363630105265525,0.7,0.6,5,5,2,1,Usage down; Teammates OUT: 5; Teammates Q: 2,UNDER,-105,0.0678,0.0324,0.3792,1.0,1.08,,,,,,,1766521250.8251789,odds_api
b80f511ba4618264:pra:36.5:over,b80f511ba4618264,Alperen Sengun,pra,over,36.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24T04:10:00Z,HOU,LAC,False,3,False,45.9,0.6174,0.7961,0.7961,0.5408,0.0429,0.533,LOW,"{'minutes_trend': 1.0393, 'usage_trend': 1.0581, 'team_usage': 1.03, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace, market divergence",39.4,38.3,38.86666666666667,UP,11.353413583587976,0.6,0.6,1,2,0,0,Usage up; Teammates OUT: 2,OVER,-135,0.0623,0.034,0.3912,1.05,1.08,,,,,,,1766521250.8251789,odds_api
