report_date,player,player_team,opponent,home_away,matchup,prop_type,line,over_odds,bookmaker,season_avg,recent_5_avg,median,std_dev,min,max,games_analyzed,times_over,times_under,times_push,over_rate_pct,is_back_to_back,days_rest,recent_mins_avg,season_mins_avg,minutes_factor,opp_defense_factor,opp_defense_rank,team_pace_factor,opp_pace_factor,combined_pace,vegas_game_total,blowout_risk,model_projection,base_projection,edge_pct,confidence_pct,recommended_pick,context_flags,adj_defense_pct,adj_location_pct,adj_b2b_pct,adj_pace_pct,adj_game_total_pct,adj_blowout_pct,adj_minutes_pct
12-06-2025,Mouhamed Gueye,ATL,WAS,AWAY,ATL @ WAS,assists,0.5,-110,betmgm,1.0,0.4,0.5,1.57,0.0,7.0,24,12,12,0,50.0,True,2,20.6,17.5,1.177,1.113,2,1.007,1.015,1.011,237.5,MEDIUM,1.5,1.4,204.7,25.0,OVER,💥 SMASH SPOT | ⚠️ B2B | ⏰ MINS UP,11.3,-2.5,-8.0,1.1,0.0,-2.0,10.0
12-06-2025,Bogdan Bogdanovic,LAC,MIN,AWAY,LAC @ MIN,assists,1.5,-191,draftkings,3.3,4.0,3.0,1.94,0.0,6.0,9,7,2,0,77.8,False,2,27.8,25.6,1.088,0.973,19,0.976,1.005,0.99,227.5,MEDIUM,3.3,3.3,120.4,50.0,OVER,⏰ MINS UP,-2.7,-2.5,0.0,-1.0,0.0,-2.0,8.8
12-06-2025,Terrence Shannon Jr.,MIN,LAC,HOME,LAC @ MIN,assists,0.5,-115,betmgm,0.8,0.6,1.0,1.34,0.0,5.0,13,7,6,0,53.8,False,2,12.6,14.2,0.89,1.021,9,1.005,0.976,0.99,227.5,MEDIUM,1.1,1.2,119.4,45.0,OVER,⏰ MINS DOWN,2.1,2.5,0.0,-1.0,0.0,-2.0,-10.0
12-06-2025,Jericho Sims,MIL,DET,AWAY,MIL @ DET,rebounds,7.5,120,fanduel,3.7,8.0,2.5,3.88,0.0,14.0,18,3,15,0,16.7,True,2,23.6,13.5,1.748,0.969,23,0.991,1.002,0.996,224.5,HIGH,1.5,1.7,-79.5,55.0,UNDER,⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS UP,-3.1,-2.5,-8.0,-0.4,0.0,-5.0,10.0
12-06-2025,Trey Murphy III,NOP,BKN,AWAY,NOP @ BKN,rebounds,3.5,-220,fanduel,6.6,7.8,7.0,3.06,2.0,15.0,21,18,3,0,85.7,False,2,36.0,35.7,1.009,1.004,12,1.009,0.976,0.992,226.5,HIGH,6.2,6.7,78.3,63.0,OVER,💨 BLOWOUT RISK,0.4,-2.5,0.0,-0.8,0.0,-5.0,0.9
12-06-2025,Jericho Sims,MIL,DET,AWAY,MIL @ DET,assists,1.5,115,betmgm,0.7,1.0,0.0,0.97,0.0,3.0,18,4,14,0,22.2,True,2,23.6,13.5,1.748,0.897,29,0.991,1.002,0.996,224.5,HIGH,0.3,0.4,-77.7,57.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS UP,-10.3,-2.5,-8.0,-0.4,0.0,-5.0,10.0
12-06-2025,Jericho Sims,MIL,DET,AWAY,MIL @ DET,pra,12.5,-114,betonlineag,7.1,14.6,5.0,7.32,0.0,30.0,18,2,16,0,11.1,True,2,23.6,13.5,1.748,0.955,22,0.991,1.002,0.996,224.5,HIGH,3.0,3.4,-75.8,62.0,UNDER,⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS UP,-4.5,-2.5,-8.0,-0.4,-0.1,-5.0,10.0
12-06-2025,Justin Champagnie,WAS,ATL,HOME,ATL @ WAS,points,9.5,-102,fanduel,4.1,7.2,4.0,4.34,0.0,13.0,19,3,16,0,15.8,False,2,17.2,12.0,1.433,1.012,10,1.015,1.007,1.011,237.5,MEDIUM,2.4,2.1,-74.6,66.0,UNDER,📈 HIGH TOTAL | ⏰ MINS UP,1.2,2.5,0.0,1.1,1.7,-2.0,10.0
12-06-2025,Jose Alvarado,NOP,BKN,AWAY,NOP @ BKN,assists,7.5,-118,fanduel,2.8,2.4,2.0,2.0,0.0,8.0,22,1,21,0,4.5,False,2,26.6,21.8,1.222,1.061,6,1.009,0.976,0.992,226.5,HIGH,2.0,1.9,-72.8,77.0,UNDER,💨 BLOWOUT RISK | ⏰ MINS UP,6.1,-2.5,0.0,-0.8,0.0,-5.0,10.0
12-06-2025,Jericho Sims,MIL,DET,AWAY,MIL @ DET,points,4.5,102,fanduel,2.7,5.6,2.0,3.54,0.0,15.0,18,3,15,0,16.7,True,2,23.6,13.5,1.748,0.977,22,0.991,1.002,0.996,224.5,HIGH,1.3,1.4,-71.6,55.0,UNDER,⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS UP,-2.3,-2.5,-8.0,-0.4,-0.1,-5.0,10.0
