player,prop_type,line,odds,sample_size,recent_avg,recent_median,recent_std,hit_rate_over,hit_rate_under,last_5_trend,last_5_avg,model_predictions,recommended_side,avg_edge,confidence,bookmaker
Aaron Wiggins,points,9.5,-102,13,13.8,11.0,6.33,76.9,23.1,↑,14.6,"{'weighted': {'projection': np.float64(13.7), 'confidence': np.float64(0.517), 'edge': np.float64(0.4432), 'side': 'over'}, 'ensemble': {'projection': np.float64(12.6), 'confidence': np.float64(0.456), 'edge': np.float64(0.3263), 'side': 'over'}}",over,38.48,0.49,fanduel
Aaron Wiggins,pra,14.5,109,13,19.2,16.0,7.39,76.9,23.1,↑,18.8,"{'weighted': {'projection': np.float64(19.8), 'confidence': np.float64(0.609), 'edge': np.float64(0.369), 'side': 'over'}, 'ensemble': {'projection': np.float64(18.2), 'confidence': np.float64(0.556), 'edge': np.float64(0.2517), 'side': 'over'}}",over,31.04,0.58,betonlineag
Aaron Wiggins,rebounds,2.5,-140,13,3.2,3.0,2.31,53.8,46.2,↑,2.2,"{'weighted': {'projection': np.float64(4.1), 'confidence': np.float64(0.391), 'edge': np.float64(0.64), 'side': 'over'}, 'ensemble': {'projection': np.float64(3.3), 'confidence': np.float64(0.196), 'edge': np.float64(0.32), 'side': 'over'}}",over,48.0,0.29,fanduel
Alex Caruso,points,4.5,-118,15,5.7,5.0,3.42,66.7,33.3,↓,5.4,"{'weighted': {'projection': np.float64(6.0), 'confidence': np.float64(0.432), 'edge': np.float64(0.3422), 'side': 'over'}, 'ensemble': {'projection': np.float64(7.0), 'confidence': np.float64(0.49), 'edge': np.float64(0.5556), 'side': 'over'}}",over,44.89,0.46,fanduel
Alex Caruso,rebounds,2.5,126,15,2.4,2.0,1.76,26.7,73.3,↑,3.0,"{'weighted': {'projection': np.float64(2.0), 'confidence': np.float64(0.438), 'edge': np.float64(-0.192), 'side': 'under'}, 'ensemble': {'projection': np.float64(2.0), 'confidence': np.float64(0.42), 'edge': np.float64(-0.2), 'side': 'under'}}",under,-19.6,0.43,draftkings
Andrew Wiggins,assists,1.5,-250,15,3.4,4.0,1.59,80.0,20.0,↑,3.4,"{'weighted': {'projection': np.float64(3.5), 'confidence': np.float64(0.536), 'edge': np.float64(1.3333), 'side': 'over'}, 'ensemble': {'projection': np.float64(3.5), 'confidence': np.float64(0.524), 'edge': np.float64(1.3333), 'side': 'over'}}",over,133.33,0.53,fanduel
Andrew Wiggins,assists,2.5,150,15,3.4,4.0,1.59,73.3,26.7,↑,3.4,"{'weighted': {'projection': np.float64(3.5), 'confidence': np.float64(0.536), 'edge': np.float64(0.4), 'side': 'over'}, 'ensemble': {'projection': np.float64(3.5), 'confidence': np.float64(0.524), 'edge': np.float64(0.4), 'side': 'over'}}",over,40.0,0.53,draftkings
Andrew Wiggins,points,14.5,-118,15,17.0,17.0,6.21,66.7,33.3,↓,18.0,"{'weighted': {'projection': np.float64(18.2), 'confidence': np.float64(0.725), 'edge': np.float64(0.2524), 'side': 'over'}, 'ensemble': {'projection': np.float64(17.6), 'confidence': np.float64(0.708), 'edge': np.float64(0.2138), 'side': 'over'}}",over,23.31,0.72,fanduel
Andrew Wiggins,points,15.5,-115,15,17.0,17.0,6.21,53.3,46.7,↓,18.0,"{'weighted': {'projection': np.float64(18.2), 'confidence': np.float64(0.725), 'edge': np.float64(0.1716), 'side': 'over'}, 'ensemble': {'projection': np.float64(17.6), 'confidence': np.float64(0.708), 'edge': np.float64(0.1355), 'side': 'over'}}",over,15.36,0.72,draftkings
Andrew Wiggins,pra,22.5,-110,15,25.3,24.0,7.5,53.3,46.7,↓,27.4,"{'weighted': {'projection': np.float64(25.5), 'confidence': np.float64(0.757), 'edge': np.float64(0.1342), 'side': 'over'}, 'ensemble': {'projection': np.float64(25.0), 'confidence': np.float64(0.746), 'edge': np.float64(0.1111), 'side': 'over'}}",over,12.26,0.75,draftkings
Andrew Wiggins,rebounds,4.5,122,15,4.9,4.0,2.29,46.7,53.3,↓,6.0,"{'weighted': {'projection': np.float64(3.9), 'confidence': np.float64(0.42), 'edge': np.float64(-0.1422), 'side': 'under'}, 'ensemble': {'projection': np.float64(4.0), 'confidence': np.float64(0.415), 'edge': np.float64(-0.1222), 'side': 'under'}}",under,-13.22,0.42,fanduel
Anthony Black,assists,5.5,-166,15,3.4,4.0,1.5,6.7,93.3,↓,4.4,"{'weighted': {'projection': np.float64(2.3), 'confidence': np.float64(0.4), 'edge': np.float64(-0.5836), 'side': 'under'}, 'ensemble': {'projection': np.float64(2.6), 'confidence': np.float64(0.458), 'edge': np.float64(-0.5182), 'side': 'under'}}",under,-55.09,0.43,draftkings
