player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Chet Holmgren,rebounds,9.5,8.1,-15.1,55.2,78.0,UNDER,8.4,8.0,19.0,81.0,NEUTRAL,21,bovada,200,33.3,88.5,Rested: 1.03x,False,0.91
Keldon Johnson,rebounds,4.5,7.0,54.5,50.6,79.0,OVER,6.2,6.5,83.0,17.0,COLD,24,betmgm,125,44.4,95.0,Rested: 1.03x,False,0.98
Zaccharie Risacher,threes,1.5,0.9,-43.2,48.7,47.0,UNDER,0.2,1.3,35.0,65.0,COLD,23,fanduel,162,38.2,86.8,Home: 1.29x | B2B: 0.93x,True,0.98
Victor Wembanyama,pra,30.5,46.7,53.0,48.5,69.0,OVER,45.2,43.1,83.0,17.0,NEUTRAL,12,bovada,115,46.5,95.0,Rested: 1.03x,False,1.03
Shai Gilgeous-Alexander,points,36.5,33.7,-7.8,48.0,85.0,UNDER,32.4,32.6,21.0,79.0,NEUTRAL,24,bovada,185,35.1,83.1,Rested: 1.03x,False,0.99
Luke Kornet,assists,1.5,2.1,38.6,47.2,58.0,OVER,2.6,2.2,69.0,31.0,HOT,16,betmgm,145,40.8,88.1,Home: 0.81x | Rested: 1.03x,False,1.09
Harrison Barnes,assists,1.5,2.4,57.1,47.2,57.0,OVER,2.4,2.2,62.0,38.0,HOT,24,fanduel,128,43.9,91.0,Rested: 1.03x,False,1.06
Victor Wembanyama,pra,29.5,46.7,58.2,46.2,72.0,OVER,45.2,43.1,92.0,8.0,NEUTRAL,12,betrivers,105,48.8,95.0,Rested: 1.03x,False,1.03
Harrison Barnes,points,10.5,19.3,83.7,45.0,67.0,OVER,17.8,13.5,62.0,38.0,HOT,24,betrivers,100,50.0,95.0,Home: 1.21x | Rested: 1.03x,False,1.06
De'Andre Hunter,threes,2.5,1.7,-32.6,44.1,59.0,UNDER,1.2,2.0,32.0,68.0,COLD,22,fanduel,148,40.3,84.5,B2B: 0.93x,True,0.97
Ajay Mitchell,points,9.5,11.1,16.9,44.0,78.0,OVER,10.4,14.2,80.0,20.0,COLD,25,bovada,125,44.4,88.5,Home: 0.93x | Rested: 1.03x,False,1.0
Ajay Mitchell,points,8.5,11.1,30.7,43.8,81.0,OVER,10.4,14.2,88.0,12.0,COLD,25,williamhill_us,-105,51.2,95.0,Home: 0.93x | Rested: 1.03x,False,1.0
Pascal Siakam,assists,4.5,3.1,-31.2,43.7,66.0,UNDER,2.6,4.0,29.0,71.0,COLD,24,fanduel,134,42.7,86.4,Home: 1.12x | B2B: 0.93x,True,0.96
Shai Gilgeous-Alexander,points,35.5,33.7,-5.2,43.3,85.0,UNDER,32.4,32.6,21.0,79.0,NEUTRAL,24,bovada,160,38.5,81.8,Rested: 1.03x,False,0.99
Julian Champagnie,pra,13.5,20.0,48.2,43.1,74.0,OVER,20.2,18.2,75.0,25.0,HOT,24,betonlineag,-108,51.9,95.0,Home: 0.95x | Rested: 1.03x,False,1.08
De'Aaron Fox,pra,27.5,35.5,29.1,41.5,75.0,OVER,33.8,34.1,81.0,19.0,NEUTRAL,16,fanduel,-115,53.5,95.0,Rested: 1.03x,False,0.94
Victor Wembanyama,pra,28.5,46.7,63.7,41.1,72.0,OVER,45.2,43.1,92.0,8.0,NEUTRAL,12,betrivers,-117,53.9,95.0,Rested: 1.03x,False,1.03
