player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team
Jaime Jaquez Jr,points,10.5,14.5,38.3,12.3,72.0,OVER,13.4,15.6,71.0,29.0,COLD,24,fanduel,-108,-108,-115,51.9,49.3,64.3,Rested: 1.03x,False,0.93,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Jaime Jaquez Jr,assists,3.5,5.1,46.2,12.1,75.0,OVER,3.8,5.0,75.0,25.0,COLD,24,fanduel,-102,-102,-125,50.5,47.6,62.6,Home: 1.12x | Rested: 1.03x,False,0.93,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Kel'el Ware,rebounds,7.5,9.2,23.3,12.1,73.0,OVER,7.8,10.1,68.0,32.0,COLD,25,fanduel,-102,-102,-125,50.5,47.6,62.6,Home: 1.12x | Rested: 1.03x | Mins: 0.87x,False,0.87,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Ausar Thompson,rebounds,5.5,7.0,27.8,12.1,65.0,OVER,5.8,6.0,62.0,38.0,NEUTRAL,21,fanduel,100,100,-128,50.0,47.1,62.1,Home: 1.18x | Rested: 1.03x,False,0.93,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Ron Holland,rebounds,2.5,4.0,61.4,12.1,63.0,OVER,4.0,3.4,60.0,40.0,HOT,25,fanduel,100,100,-128,50.0,47.1,62.1,Home: 1.17x | Rested: 1.03x,False,0.92,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Steven Adams,rebounds,7.5,8.9,18.3,12.0,74.0,OVER,8.2,9.1,78.0,22.0,COLD,18,fanduel,120,120,-160,45.5,42.5,57.5,Rested: 1.03x,False,0.92,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Ron Holland,points,6.5,9.7,49.6,12.0,63.0,OVER,11.0,8.2,60.0,40.0,HOT,25,fanduel,-111,-111,-115,52.6,49.6,64.6,Rested: 1.03x,False,0.92,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Isaiah Stewart II,points,7.5,11.3,51.3,11.9,58.0,OVER,12.4,9.6,65.0,35.0,HOT,20,fanduel,-113,-113,-113,53.1,50.0,65.0,Home: 0.92x | B2B: 0.93x | Mins: 1.15x,True,1.41,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Duncan Robinson,points,10.5,13.3,26.3,11.9,72.0,OVER,12.6,12.5,65.0,35.0,NEUTRAL,23,fanduel,-113,-113,-113,53.1,50.0,65.0,Rested: 1.03x,False,0.94,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Duncan Robinson,threes,2.5,3.3,33.2,11.8,70.0,OVER,3.0,3.0,74.0,26.0,NEUTRAL,23,fanduel,-125,-125,-102,55.6,52.4,67.4,Home: 1.06x | Rested: 1.03x,False,0.94,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Daniel Gafford,rebounds,5.5,8.4,52.3,11.8,60.0,OVER,7.0,6.4,60.0,40.0,HOT,15,fanduel,100,100,-132,50.0,46.8,61.8,Home: 1.16x | Rested: 1.03x,False,0.97,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Cam Spencer,points,10.5,18.6,77.0,11.7,69.0,OVER,17.2,11.4,60.0,40.0,HOT,25,fanduel,-114,-114,-114,53.3,50.0,65.0,Rested: 1.03x | Mins: 1.15x,False,1.2,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Santi Aldama,pra,25.5,23.4,-8.3,11.5,82.0,UNDER,21.4,23.0,24.0,76.0,COLD,25,fanduel,-118,-112,-118,54.1,50.6,65.6,Rested: 1.03x,False,1.02,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Nikola Jokic,assists,9.5,12.2,28.3,11.5,78.0,OVER,10.6,10.9,67.0,33.0,NEUTRAL,24,fanduel,-122,-122,-108,55.0,51.4,66.4,Home: 1.11x | Rested: 1.03x,False,0.99,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Sam Hauser,points,8.5,7.2,-14.7,11.4,60.0,UNDER,6.6,6.9,28.0,72.0,NEUTRAL,25,fanduel,-122,-104,-122,55.0,51.9,66.4,Rested: 1.03x,False,1.0,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Josh Okogie,rebounds,2.5,4.1,64.2,11.3,58.0,OVER,4.0,2.9,59.0,41.0,HOT,22,fanduel,-114,-114,-114,53.3,50.0,64.5,Home: 1.10x | Rested: 1.03x,False,0.92,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Daniel Gafford,points,6.5,9.0,37.9,11.3,56.0,OVER,6.2,8.9,73.0,27.0,COLD,15,fanduel,-132,-132,100,56.9,53.2,68.2,Home: 1.11x | Rested: 1.03x,False,0.97,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
