player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team,news_status,news_adjustment,news_flags,news_notes,news_sources
De'Aaron Fox,points,20.5,22.6,10.3,15.4,66.0,OVER,22.4,23.9,76.0,24.0,COLD,17,betmgm,-110,-110,115,52.4,53.0,67.8,Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,0.97,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.cbssports.com/nba/players/2355019/deaaron-fox/ | https://www.rotowire.com/basketball/player/deaaron-fox-4116 | https://andscape.com/features/for-deaaron-fox-the-grass-is-greener-with-the-san-antonio-spurs/
Dylan Harper,pra,17.5,24.7,41.0,14.1,63.0,OVER,20.4,19.9,60.0,40.0,NEUTRAL,15,betrivers,120,120,-130,45.5,44.6,59.6,Home: 1.23x | Rested: 1.03x,False,1.06,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NO_NEWS,,,,
Mikal Bridges,points,16.5,12.9,-22.0,13.3,76.0,UNDER,13.8,16.4,32.0,68.0,COLD,25,bovada,-120,120,-120,54.5,54.5,67.9,Home: 0.81x | Rested: 1.03x,False,0.97,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NO_NEWS,,,,
Keldon Johnson,rebounds,3.5,5.1,46.6,13.1,73.0,OVER,6.2,6.5,88.0,12.0,NEUTRAL,25,betmgm,-140,-140,122,58.3,56.4,71.4,Rested: 1.03x | Mins: 0.87x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,0.87,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.foxsports.com/nba/keldon-johnson-player-injuries | https://www.rotowire.com/basketball/player/keldon-johnson-4782 | https://www.foxsports.com/nba/keldon-johnson-player
Mitchell Robinson,rebounds,7.5,9.1,21.1,12.7,63.0,OVER,7.8,8.2,59.0,41.0,COLD,17,bovada,180,180,-245,35.7,33.5,48.5,Home: 1.12x | Rested: 1.03x,False,1.03,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NO_NEWS,,,,
Harrison Barnes,assists,1.5,2.0,33.8,12.7,53.0,OVER,2.4,2.3,64.0,36.0,HOT,25,betmgm,-105,-105,-115,51.2,48.9,63.9,Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,1.01,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.foxsports.com/nba/harrison-barnes-player-injuries | https://buzztulsa.iheart.com/content/2025-12-13-thunder-vs-spurs-injury-report-dec-13/ | https://www.rotowire.com/basketball/headlines/harrison-barnes-news-struggles-in-win-saturday-508414
Cedric Coward,threes,1.5,1.0,-35.7,12.7,41.0,UNDER,0.8,1.5,38.0,62.0,COLD,26,betonlineag,-102,-119,-102,50.5,48.2,63.2,Home: 1.32x | B2B: 0.93x | News: 0.88x (-12%) | ⚠️ GTD (likely OUT),True,0.99,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,GTD_LEANING_OUT,-12.0%,⚠️ GTD (likely OUT),"Game-time decision, leaning towards sitting",https://ak-static.cms.nba.com/referee/injury/Injury-Report_2025-11-15_12PM.pdf | https://roundtable.io/sports/nba/grizzlies/news/cedric-coward-doubtful-with-foot-soreness-as-grizzlies-face-heightened-pressure-in-cleveland | https://hoopswire.com/nba-notes-magic-franz-wagner-grizzlies-cedric-coward-warriors/
Darius Garland,pra,30.5,25.6,-16.1,12.4,56.0,UNDER,26.8,24.8,27.0,73.0,HOT,11,fanduel,-116,-106,-116,53.7,51.1,66.1,Mins: 1.11x | News: 0.92x (-8%) | ⚠️ GTD,False,1.11,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.si.com/nba/cavaliers/onsi/news/darius-garland-s-injury-reason-for-concern-for-cavaliers-01kcha0czw54 | https://www.youtube.com/watch?v=ki0JPJDHVxA | https://www.cbssports.com/fantasy/basketball/news/cavaliers-darius-garland-off-injury-report/
Ayo Dosunmu,points,10.5,12.5,19.0,12.2,59.0,OVER,11.6,15.2,75.0,25.0,COLD,20,betonlineag,-123,-123,-101,55.2,52.3,67.3,Rested: 1.03x | Mins: 1.14x | News: 0.77x (-23%) | ⚠️ GTD (likely OUT) | ⏱️ MINS LIMIT,False,1.14,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,GTD_LEANING_OUT,-22.6%,⚠️ GTD (likely OUT) | ⏱️ MINS LIMIT,"Game-time decision, leaning towards sitting; Minutes restriction reported",https://www.bleachernation.com/bulls/2025/12/16/bulls-ayo-thumb-injuries/ | https://www.rotowire.com/basketball/headlines/ayo-dosunmu-injury-confirmed-out-sunday-508468 | https://www.cbssports.com/nba/players/3042559/ayo-dosunmu/
Jaylon Tyson,threes,1.5,1.9,27.9,12.2,54.0,OVER,1.4,2.1,64.0,36.0,COLD,22,fanduel,-114,-114,-108,53.3,50.6,65.5,Home: 1.16x | Mins: 1.15x | News: 0.81x (-19%) | ⚠️ GTD | ⏱️ MINS LIMIT,False,1.18,Cleveland Cavaliers @ Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,GTD_UNCERTAIN,-19.0%,⚠️ GTD | ⏱️ MINS LIMIT,"Game-time decision, status uncertain; Minutes restriction reported",https://www.cbssports.com/nba/players/26777669/jaylon-tyson/ | https://ak-static.cms.nba.com/referee/injury/Injury-Report_2025-11-15_09AM.pdf | https://www.salaryswish.com/injury/players/jaylon-tyson
Julian Champagnie,pra,13.5,16.5,22.1,12.0,67.0,OVER,19.8,18.0,72.0,28.0,HOT,25,betonlineag,-111,-111,-115,52.6,49.6,64.6,Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,1.03,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.cbssports.com/nba/players/3141486/julian-champagnie/ | https://www.foxsports.com/nba/julian-champagnie-player | https://www.nbcsports.com/nba/julian-champagnie/00000188-9cf2-da6b-abd8-fcff19730062/news
Julian Champagnie,threes,1.5,2.5,67.7,11.9,56.0,OVER,2.8,2.3,64.0,36.0,HOT,25,draftkings,-139,-139,120,58.2,56.1,70.1,Home: 1.16x | Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,1.03,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.cbssports.com/nba/players/3141486/julian-champagnie/ | https://www.foxsports.com/nba/julian-champagnie-player | https://www.nbcsports.com/nba/julian-champagnie/00000188-9cf2-da6b-abd8-fcff19730062/news
Jalen Brunson,pra,40.5,33.9,-16.3,11.0,76.0,UNDER,41.4,38.3,35.0,65.0,HOT,23,bovada,-108,100,-108,51.9,50.9,63.0,Rested: 1.03x | News: 0.87x (-13%) | ⚠️ GTD (likely playing) | 🔄 RETURNING,False,1.05,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_LEANING_PLAY,-12.6%,⚠️ GTD (likely playing) | 🔄 RETURNING,"Game-time decision, expected to play; Returning from injury - rust factor applied",https://www.cbssports.com/nba/players/2203517/jalen-brunson/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/new-york-knicks-nba-cup-final-game-injury-report-whos-playing-whos-out-and-more-december-16-2025/articleshow/126017371.cms | https://www.foxsports.com/nba/jalen-brunson-player
Victor Wembanyama,points,23.5,26.0,10.7,10.9,61.0,OVER,27.0,25.8,62.0,38.0,NEUTRAL,13,bovada,130,130,-170,43.5,40.8,54.4,Rested: 1.03x,False,0.97,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,NO_NEWS,,,,
Mikal Bridges,assists,2.5,3.6,45.4,10.4,69.0,OVER,3.8,4.2,80.0,20.0,COLD,25,bovada,-290,-290,210,74.4,69.7,84.7,Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,0.97,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://timesofindia.indiatimes.com/sports/nba/top-stories/new-york-knicks-nba-cup-final-game-injury-report-whos-playing-whos-out-and-more-december-16-2025/articleshow/126017371.cms | https://www.cbssports.com/nba/players/2153056/mikal-bridges/ | https://953wdae.iheart.com/content/2025-12-13-knicks-vs-magic-injury-report-dec-13/
Karl-Anthony Towns,assists,2.5,3.3,32.3,9.7,67.0,OVER,2.8,3.2,62.0,38.0,COLD,24,betmgm,-155,-155,138,60.8,59.1,70.5,Home: 1.15x | Rested: 1.03x | News: 0.95x (-5%) | ⚠️ GTD (likely playing),False,0.98,San Antonio Spurs @ New York Knicks,New York Knicks,San Antonio Spurs,GTD_LEANING_PLAY,-5.0%,⚠️ GTD (likely playing),"Game-time decision, expected to play",https://heavy.com/sports/nba/new-york-knicks/karl-anthony-towns-injury-update-nba-cup/ | https://www.si.com/nba/knicks/onsi/news/new-yorkknicks-release-disappointing-karl-anthony-towns-injury-status | https://sicscore.com/nba/players/karl-anthony-towns
Cedric Coward,points,14.5,12.5,-13.7,9.4,64.0,UNDER,14.4,13.4,31.0,69.0,HOT,26,betonlineag,-125,-102,-125,55.6,52.4,64.9,Home: 1.16x | B2B: 0.93x | News: 0.88x (-12%) | ⚠️ GTD (likely OUT),True,0.99,Memphis Grizzlies @ Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,GTD_LEANING_OUT,-12.0%,⚠️ GTD (likely OUT),"Game-time decision, leaning towards sitting",https://ak-static.cms.nba.com/referee/injury/Injury-Report_2025-11-15_12PM.pdf | https://roundtable.io/sports/nba/grizzlies/news/cedric-coward-doubtful-with-foot-soreness-as-grizzlies-face-heightened-pressure-in-cleveland | https://hoopswire.com/nba-notes-magic-franz-wagner-grizzlies-cedric-coward-warriors/
