player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Jarace Walker,points,6.5,9.0,38.9,11.7,68.0,OVER,8.2,9.7,65.0,35.0,COLD,26,fanduel,-114,-114,-114,53.3,50.0,65.0,Home: 1.14x | Rested: 1.03x | Mins: 0.85x,False,4,0.7,DOWN,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,NYK,21,HARD,9,26,NO_NEWS,,,No recent news (filtered outdated articles),https://www.espn.com/nba/story/_/id/45414553/pacers-jarace-walker-hurts-ankle-status-nba-finals-iffy | https://www.cbssports.com/nba/players/28954646/jarace-walker/ | https://www.rotowire.com/basketball/headlines/jarace-walker-news-inefficient-12-points-off-bench-508608
Zion Williamson,pra,26.5,31.6,19.4,11.7,64.0,OVER,29.6,31.3,73.0,27.0,COLD,11,fanduel,-108,-108,-122,51.9,48.6,63.6,Rested: 1.03x,False,4,0.98,STABLE,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,HOU,21,HARD,6,27,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/3042398/zion-williamson/ | https://www.si.com/nba/pelicans/onsi/news/pelicans-injury-report-rockets-will-zion-williamson-play-01kcqb1js9ev | https://timesofindia.indiatimes.com/sports/nba/top-stories/orlando-magic-vs-denver-nuggets-regular-season-game-full-injury-report-whos-out-and-more-december-18-2025/articleshow/126060250.cms
Kris Dunn,assists,3.5,2.3,-35.4,11.7,57.0,UNDER,4.0,2.9,35.0,65.0,HOT,26,fanduel,-114,-114,-114,53.3,50.0,65.0,Home: 0.68x | Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,3,0.99,STABLE,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,OKC,30,TOUGH,29,10,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.foxsports.com/nba/kris-dunn-player-injuries | https://www.cbssports.com/nba/players/2019315/kris-dunn/ | https://www.rotowire.com/basketball/headlines/kris-dunn-news-posts-17-points-in-defeat-508687
Jeremiah Fears,points,12.5,15.1,20.7,11.5,82.0,OVER,15.6,15.7,81.0,19.0,NEUTRAL,27,fanduel,-120,-120,-110,54.5,51.0,66.0,Home: 0.93x | Rested: 1.03x,False,4,1.02,STABLE,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,HOU,21,HARD,6,27,NO_NEWS,,,No recent news (filtered outdated articles),https://ak-static.cms.nba.com/referee/injury/Injury-Report_2025-12-18_07AM.pdf | https://www.cbssports.com/nba/players/29558457/jeremiah-fears/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/houston-rockets-vs-new-orleans-pelicans-regular-season-game-full-injury-report-whos-out-and-more-december-18-2025/articleshow/126059627.cms
Jose Alvarado,pra,10.5,20.8,98.0,11.5,67.0,OVER,15.6,14.8,62.0,38.0,HOT,26,fanduel,-122,-122,-108,55.0,51.4,66.4,Home: 1.10x | Rested: 1.03x | Mins: 1.11x,False,4,1.11,UP,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,HOU,21,HARD,6,27,NO_NEWS,,,No recent news (filtered outdated articles),https://www.foxsports.com/nba/jose-alvarado-player | https://www.cbssports.com/nba/players/2892395/jose-alvarado/ | https://www.nbcsports.com/nba/jose-alvarado/11182/news
Bogdan Bogdanovic,rebounds,2.5,3.7,46.4,11.5,48.0,OVER,3.4,3.3,67.0,33.0,NEUTRAL,12,fanduel,-120,-120,-110,54.5,51.0,66.0,Home: 1.05x | Rested: 1.03x,False,3,0.92,DOWN,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,OKC,30,TOUGH,29,10,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/2135518/bogdan-bogdanovic/ | https://www.salaryswish.com/injury/players/bogdan-bogdanovic | https://www.rotowire.com/basketball/player/bogdan-bogdanovic-3593
Norman Powell,assists,2.5,3.2,26.9,11.1,60.0,OVER,2.8,2.5,52.0,48.0,HOT,21,fanduel,130,130,-174,43.5,40.6,54.6,Home: 1.18x | Rested: 1.03x,False,3,1.03,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,BKN,11,NEUTRAL,1,28,NO_NEWS,,,,
Jalen Brunson,rebounds,3.5,2.6,-24.5,10.9,59.0,UNDER,2.6,3.1,35.0,65.0,COLD,23,fanduel,-120,-110,-120,54.5,51.0,65.5,Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,5,1.05,STABLE,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,IND,6,GOOD,26,9,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.cbssports.com/nba/players/2203517/jalen-brunson/ | https://sports.iheart.com/content/2025-12-18-knicks-vs-pacers-injury-report-dec-18/ | https://timesofindia.indiatimes.com/sports/nba/top-stories/new-york-knicks-vs-indiana-pacers-regular-season-game-full-injury-report-whos-out-and-more-december-18-2025/articleshow/126054055.cms
Nickeil Alexander-Walker,rebounds,2.5,3.9,57.5,10.8,66.0,OVER,4.6,3.6,76.0,24.0,HOT,25,fanduel,-182,-182,136,64.5,60.4,75.4,Home: 1.06x | Rested: 1.03x | News: 0.85x (-15%) | ⚠️ GTD | 🔄 RETURNING,False,4,0.99,STABLE,Atlanta Hawks @ Charlotte Hornets,Charlotte Hornets,Atlanta Hawks,CHA,11,NEUTRAL,7,22,GTD_UNCERTAIN,-15.4%,⚠️ GTD | 🔄 RETURNING,"Game-time decision, status uncertain; Returning from injury - rust factor applied",https://www.cbssports.com/fantasy/basketball/news/hawks-nickeil-alexander-walker-nursing-ankle-sprain/ | https://www.rotowire.com/basketball/headlines/nickeil-alexander-walker-news-cleared-to-play-sunday-508463 | https://www.foxsports.com/nba/nickeil-alexander-walker-player
Ajay Mitchell,points,9.5,10.2,7.4,10.6,77.0,OVER,8.8,14.0,77.0,23.0,COLD,26,fanduel,-130,-130,-102,56.5,52.8,67.1,Home: 0.92x | Rested: 1.03x,False,5,0.96,STABLE,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,LAC,14,NEUTRAL,10,29,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/26776721/ajay-mitchell/ | https://sports.iheart.com/content/2025-12-18-thunder-vs-clippers-injury-report-dec-18/ | https://www.rotowire.com/basketball/headlines/ajay-mitchell-news-shifts-back-to-bench-507977
Zaccharie Risacher,points,10.5,13.6,29.9,10.5,68.0,OVER,10.4,11.2,58.0,42.0,COLD,24,fanduel,-108,-108,-122,51.9,48.6,62.4,Home: 1.25x | Rested: 1.03x,False,4,0.98,STABLE,Atlanta Hawks @ Charlotte Hornets,Charlotte Hornets,Atlanta Hawks,CHA,11,NEUTRAL,7,22,NO_NEWS,,,,
Derik Queen,rebounds,6.5,8.2,26.7,10.0,72.0,OVER,7.2,6.4,56.0,44.0,HOT,27,fanduel,106,106,-140,48.5,45.4,58.5,Home: 1.05x | Rested: 1.03x | Mins: 1.15x,False,4,1.17,UP,Houston Rockets @ New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,HOU,21,HARD,6,27,NO_NEWS,,,No recent news (filtered outdated articles),https://sportstalk790.iheart.com/content/2025-12-18-rockets-vs-pelicans-injury-report-dec-18/ | https://www.testudotimes.com/2025/7/18/24470125/derik-queen-undergoes-left-wrist-surgery-to-be-re-evaluated-in-approximately-12-weeks | https://www.youtube.com/watch?v=ULYv-BhaCxI&vl=en
Jalen Johnson,assists,7.5,12.6,68.2,9.9,68.0,OVER,11.8,8.2,54.0,46.0,HOT,24,fanduel,-104,-104,-128,51.0,47.6,60.9,Home: 1.17x | Rested: 1.03x,False,4,1.05,STABLE,Atlanta Hawks @ Charlotte Hornets,Charlotte Hornets,Atlanta Hawks,CHA,11,NEUTRAL,7,22,NO_NEWS,,,No recent news (filtered outdated articles),https://www.cbssports.com/nba/players/3178366/jalen-johnson/ | https://www.rotowire.com/basketball/player/jalen-johnson-5329 | https://sports.iheart.com/content/2025-12-18-hawks-vs-hornets-injury-report-dec-18/
Shai Gilgeous-Alexander,threes,1.5,1.9,24.8,9.8,69.0,OVER,2.2,2.2,68.0,32.0,NEUTRAL,25,fanduel,-146,-146,110,59.3,55.5,69.2,Home: 0.84x | Rested: 1.03x,False,5,0.99,STABLE,Los Angeles Clippers @ Oklahoma City Thunder,Oklahoma City Thunder,Los Angeles Clippers,LAC,14,NEUTRAL,10,29,NO_NEWS,,,No recent news (filtered outdated articles),https://www.foxsports.com/nba/shai-gilgeous-alexander-player-injuries | https://www.cbssports.com/nba/players/2938033/shai-gilgeous-alexander/ | https://sportssd.iheart.com/content/2025-12-18-thunder-vs-clippers-injury-report-dec-18/
Jay Huff,rebounds,5.5,5.0,-8.7,9.5,64.0,UNDER,4.0,3.7,23.0,77.0,HOT,26,fanduel,-146,110,-146,59.3,55.5,68.8,Rested: 1.03x | Mins: 1.15x,False,4,1.34,UP,New York Knicks @ Indiana Pacers,Indiana Pacers,New York Knicks,NYK,21,HARD,9,26,NO_NEWS,,,No recent news (filtered outdated articles),https://www.foxsports.com/nba/jay-huff-player-injuries | https://www.cbssports.com/nba/players/2268640/jay-huff/ | https://web.sportsforecaster.com/nba/p/227409/Jay_Huff/transactions
Bam Adebayo,assists,2.5,1.8,-26.9,9.1,52.0,UNDER,2.2,2.5,50.0,50.0,COLD,20,fanduel,122,-162,122,45.0,42.1,54.1,Home: 0.89x | Rested: 1.03x | News: 0.92x (-8%) | ⚠️ GTD,False,3,1.05,UP,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,BKN,11,NEUTRAL,1,28,GTD_UNCERTAIN,-8.0%,⚠️ GTD,"Game-time decision, status uncertain",https://www.cbssports.com/nba/players/2844706/bam-adebayo/ | https://www.foxsports.com/nba/bam-adebayo-player-injuries | https://foxsports940.iheart.com/content/2025-12-18-heat-vs-nets-injury-report-dec-18/
Ziaire Williams,points,8.5,12.1,42.3,9.1,55.0,OVER,10.6,9.3,55.0,45.0,HOT,22,fanduel,-112,-112,-118,52.8,49.4,62.0,Home: 1.24x | Rested: 1.03x,False,4,1.0,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,MIA,13,NEUTRAL,28,1,NO_NEWS,,,,
Simone Fontecchio,threes,2.5,1.6,-34.1,9.1,62.0,UNDER,1.6,2.0,36.0,64.0,COLD,25,fanduel,-162,122,-162,61.8,57.9,70.9,Rested: 1.03x,False,3,1.02,STABLE,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,BKN,11,NEUTRAL,1,28,NO_NEWS,,,No recent news (filtered outdated articles),https://sportsforecaster.com/nba/p/63923/Simone_Fontecchio/transactions | https://www.cbssports.com/nba/players/2211139/simone-fontecchio/ | https://www.rotowire.com/basketball/player/simone-fontecchio-5797
