player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Ayo Dosunmu,threes,1.5,1.9,23.9,13.0,57.0,OVER,2.0,1.9,60.0,40.0,HOT,20,fanduel,176,176,-230,36.2,34.2,49.2,Home: 0.94x | Rested: 1.03x | Mins: 1.14x | Vol↓: 0.92x | COLD: 0.95x (52% TS),False,12,1.14,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Lonzo Ball,rebounds,4.5,5.8,28.2,12.6,66.0,OVER,5.6,4.7,57.0,43.0,HOT,21,fanduel,130,130,-166,43.5,41.1,56.1,Home: 1.09x,False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Victor Wembanyama,rebounds,9.5,11.9,25.3,12.5,64.0,OVER,11.2,12.3,64.0,36.0,COLD,14,fanduel,118,118,-150,45.9,43.3,58.3,Home: 1.10x | B2B: 0.93x,True,1,0.92,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Lonzo Ball,threes,1.5,0.7,-53.3,12.4,48.0,UNDER,0.6,1.3,38.0,62.0,COLD,21,fanduel,112,-142,112,47.2,44.6,59.6,Home: 0.91x | Vol↓: 0.93x | COLD: 0.95x (32% TS),False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Jarrett Allen,rebounds,9.5,6.0,-36.7,12.3,68.0,UNDER,6.0,7.2,24.0,76.0,COLD,17,fanduel,104,-132,104,49.0,46.3,61.3,Home: 0.93x,False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Darius Garland,pra,33.5,27.5,-17.8,12.1,69.0,UNDER,25.6,24.9,8.0,92.0,NEUTRAL,12,fanduel,-102,-125,-102,50.5,47.6,62.6,Mins: 1.11x | Vol↑: 1.05x | COLD: 0.98x (46% TS),False,2,1.11,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Victor Wembanyama,points,17.5,24.7,41.4,12.1,69.0,OVER,26.4,25.1,86.0,14.0,HOT,14,fanduel,-102,-102,-125,50.5,47.6,62.6,B2B: 0.93x | Vol↑: 1.08x | HOT: 1.03x (67% TS),True,1,0.92,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Kevin Huerter,points,9.5,10.7,13.1,12.1,67.0,OVER,10.6,12.1,71.0,29.0,COLD,21,fanduel,100,100,-128,50.0,47.1,62.1,Home: 1.11x | Vol↓: 0.92x,False,2,0.93,DOWN,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,,
Jarrett Allen,points,17.5,9.1,-47.9,12.1,63.0,UNDER,10.2,14.0,24.0,76.0,COLD,17,fanduel,-104,-122,-104,51.0,48.1,63.1,Home: 0.84x | Vol↓: 0.92x | COLD: 0.98x (58% TS),False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Simone Fontecchio,points,11.5,6.5,-43.3,12.0,71.0,UNDER,7.0,9.5,31.0,69.0,COLD,26,fanduel,-108,-118,-108,51.9,49.0,64.0,Home: 1.07x | B2B: 0.93x | Vol↓: 0.92x | COLD: 0.95x (47% TS),True,1,1.02,STABLE,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,BOS,29,TOUGH,1,30,NO_NEWS,,,No player news found,
