player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,flags,player_status,context_quality
Cameron Johnson,rebounds,1.5,4.7,216.1,25.6,55.0,OVER,5.0,3.7,88.0,12.0,HOT,25,fanduel,-174,-174,130,59.4,59.4,85.0,opp_defense: -12.5% | location: +2.5% | pace: -1.5% | minutes: +10.0%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,HOU,30.0,TOUGH,,,TOUGH DEF | MINS UP,HEALTHY,77
Derik Queen,assists,3.5,6.4,83.2,24.9,40.0,OVER,6.0,4.0,54.0,46.0,HOT,28,fanduel,-170,-170,132,59.4,59.4,84.3,minutes: +10.0%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,,,NEUTRAL,,,MINS UP,HEALTHY,33
Josh Okogie,rebounds,2.5,4.5,78.5,23.6,53.0,OVER,4.2,3.0,62.0,38.0,HOT,24,fanduel,-106,-106,-125,48.1,48.1,71.6,minutes: +9.1%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,,,NEUTRAL,,,MINS UP,HEALTHY,33
Jonas Valanciunas,rebounds,2.5,4.4,77.2,23.2,53.0,OVER,4.4,4.6,88.0,12.0,NEUTRAL,26,fanduel,-106,-106,-125,48.1,48.1,71.2,opp_defense: -12.5% | location: +2.5% | pace: -1.5% | minutes: +10.0%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,HOU,30.0,TOUGH,,,TOUGH DEF | MINS UP,HEALTHY,77
Nikola Jokic,threes,0.5,2.7,445.2,22.9,58.0,OVER,2.4,2.1,88.0,12.0,NEUTRAL,26,fanduel,-200,-200,146,62.1,62.1,85.0,opp_defense: -0.1% | location: +2.5% | pace: -1.5% | minutes: +2.5% | shot_volume: +8.0%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,HOU,16.0,NEUTRAL,,,VOL UP,HEALTHY,80
Josh Okogie,threes,3.5,0.9,-73.5,22.0,66.0,UNDER,1.0,1.1,0.0,100.0,HOT,24,fanduel,-154,116,-154,56.7,56.7,78.7,minutes: +9.1% | usage_rate: -2.1% | shot_volume: -8.0%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,,,NEUTRAL,,,MINS UP | LOW USG | VOL DOWN,HEALTHY,39
Isaiah Stewart II,points,8.5,14.6,71.7,21.5,56.0,OVER,13.2,10.4,62.0,38.0,HOT,24,fanduel,100,100,-128,47.1,47.1,68.6,minutes: +7.3% | usage_rate: -1.1% | shot_volume: +8.0% | ts_regression: +3.1%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,42
Kon Knueppel,assists,3.5,5.8,66.2,19.9,47.0,OVER,6.0,3.6,44.0,56.0,HOT,27,fanduel,112,112,-142,44.6,44.6,64.4,minutes: +6.1%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,MINS UP,HEALTHY,33
Ron Holland,rebounds,2.5,4.1,63.5,19.1,54.0,OVER,4.8,3.6,63.0,37.0,HOT,27,fanduel,-113,-113,-113,50.0,50.0,69.1,minutes: -7.0%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,MINS DOWN,HEALTHY,33
Saddiq Bey,points,12.5,20.4,63.2,19.0,53.0,OVER,17.8,14.7,59.0,41.0,HOT,27,fanduel,-102,-102,-125,47.6,47.6,66.6,minutes: +6.9% | usage_rate: -0.4% | shot_volume: +8.0%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,39
Kon Knueppel,points,17.5,28.4,62.5,18.7,60.0,OVER,25.0,19.4,63.0,37.0,HOT,27,fanduel,-111,-111,-115,49.6,49.6,68.3,minutes: +6.1% | usage_rate: +0.4% | shot_volume: +8.0% | ts_regression: +3.7%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,42
