player,team,status,injury,source,is_star,impact
Amari Williams,BOS,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Max Shulga,BOS,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Ron Harper Jr.,BOS,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Jaylen Brown,BOS,DOUBTFUL,Injury/Illness - Illness; Non-Covid,NBA Official Report,True,STAR
Jayson Tatum,BOS,OUT,Injury/Illness - Right Achilles; Repair,NBA Official Report,True,STAR
Pat Connaughton,CHA,AVAILABLE,Injury/Illness - Right Calf; Strain,NBA Official Report,False,ROTATION
Tre Mann,CHA,AVAILABLE,Injury/Illness - Right Knee; Bone Bruise,NBA Official Report,False,ROTATION
Grant Williams,CHA,OUT,Injury/Illness - Right Knee; Surgery,NBA Official Report,False,ROTATION
Collin Sexton,CHA,OUT,Injury/Illness - Left Quadriceps; Strain,NBA Official Report,False,ROTATION
Antonio Reeves,CHA,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Drew Peterson,CHA,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Liam McNeeley,CHA,OUT,G League - On Assignment,NBA Official Report,False,ROTATION
Dereck Lively II,DAL,OUT,Injury/Illness - Right Foot; Injury Management,NBA Official Report,False,ROTATION
Dante Exum,DAL,OUT,Injury/Illness - Right Knee; Surgery,NBA Official Report,False,ROTATION
Klay Thompson,DAL,QUESTIONABLE,Injury/Illness - Left Knee; Soreness,NBA Official Report,False,ROTATION
Kyrie Irving,DAL,OUT,Injury/Illness - Left Knee; Surgery,NBA Official Report,True,STAR
Anthony Davis,DAL,PROBABLE,Injury/Illness - Illness; Illness,NBA Official Report,True,STAR
Curtis Jones,DEN,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
DaRon Holmes II,DEN,OUT,G League - On Assignment,NBA Official Report,False,ROTATION
Aaron Gordon,DEN,OUT,Injury/Illness - Right Hamstring; Strain,NBA Official Report,False,ROTATION
Christian Braun,DEN,OUT,Injury/Illness - Left Ankle; Sprain,NBA Official Report,False,ROTATION
Tamar Bates,DEN,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Peyton Watson,DEN,QUESTIONABLE,Injury/Illness - Right Trunk; Contusion,NBA Official Report,False,ROTATION
Tolu Smith,DET,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Wendell Moore Jr.,DET,OUT,G League - Two-Way,NBA Official Report,False,ROTATION
Chaz Lanier,DET,OUT,G League - On Assignment,NBA Official Report,False,ROTATION
Bobi Klintman,DET,OUT,G League - On Assignment,NBA Official Report,False,ROTATION
Isaac Jones,DET,OUT,G League - On Assignment,NBA Official Report,False,ROTATION
Duncan Robinson,DET,PROBABLE,Injury/Illness - Left Knee; Contusion,NBA Official Report,False,ROTATION
Caris LeVert,DET,PROBABLE,Injury/Illness - Right Knee; Soreness,NBA Official Report,False,ROTATION
Al Horford,GSW,OUT,Injury/Illness - Right Sciatic Nerve; Irritation,NBA Official Report,False,ROTATION
Seth Curry,GSW,OUT,Injury/Illness - Left Glute; Injury Management,NBA Official Report,False,ROTATION
Jonathan Kuminga,GSW,QUESTIONABLE,Injury/Illness - General; Illness,NBA Official Report,False,ROTATION
Tari Eason,HOU,OUT,Injury/Illness - Left Lower Leg; Injury Management,NBA Official Report,False,ROTATION
Fred VanVleet,HOU,OUT,Injury/Illness - Right Knee; ACL Repair,NBA Official Report,False,ROTATION
Dorian Finney-Smith,HOU,OUT,Injury/Illness - Left Ankle; Surgery,NBA Official Report,False,ROTATION
Taelon Peter,IND,DOUBTFUL,G League - Two-Way,NBA Official Report,False,ROTATION
Kam Jones,IND,DOUBTFUL,G League - On Assignment,NBA Official Report,False,ROTATION
Obi Toppin,IND,OUT,Injury/Illness - Right Foot; Stress Fracture,NBA Official Report,False,ROTATION
Ben Sheppard,IND,OUT,Injury/Illness - Left Calf; Strain,NBA Official Report,False,ROTATION
Aaron Nesmith,IND,OUT,Injury/Illness - Left Knee; MCL Sprain,NBA Official Report,False,ROTATION
