Player,Prop,Line,Side,Proj,Edge,P(Win),Stake,B2B,Rest
Isaiah Joe,points,7.5,OVER,11.8,30.0,82.4,30.0,No,7
Isaiah Joe,threes,1.5,OVER,2.6,30.0,82.4,30.0,No,7
Stephon Castle,rebounds,4.5,OVER,5.5,29.0,81.4,30.0,Yes,1
Wendell Carter Jr,threes,0.5,OVER,1.0,27.6,80.0,30.0,No,0
Anthony Black,rebounds,5.5,UNDER,5.5,27.6,80.0,30.0,No,0
Rui Hachimura,points,11.5,OVER,12.2,27.6,80.0,30.0,No,2
Stephon Castle,threes,1.5,UNDER,0.7,27.3,79.6,30.0,Yes,1
Aaron Wiggins,points,9.5,OVER,14.3,24.5,76.9,30.0,No,2
Rui Hachimura,threes,1.5,OVER,2.0,22.6,75.0,30.0,No,2
Austin Reaves,points,23.5,OVER,29.3,22.6,75.0,30.0,No,2
Luke Kornet,rebounds,7.5,UNDER,6.3,22.3,74.7,30.0,Yes,1
Dillon Brooks,rebounds,3.5,UNDER,2.9,21.2,73.6,30.0,Yes,1
Alex Caruso,rebounds,2.5,UNDER,3.0,21.0,73.3,30.0,No,11
Marcus Smart,points,6.5,OVER,10.0,19.0,71.4,30.0,No,14
Royce O'Neale,points,8.5,OVER,9.0,18.9,71.2,30.0,Yes,1
Royce O'Neale,threes,2.5,OVER,2.5,18.9,71.2,30.0,Yes,1
Luka Doncic,points,32.5,OVER,35.3,18.2,70.6,30.0,No,2
Shai Gilgeous-Alexander,threes,1.5,OVER,2.5,17.6,70.0,30.0,No,4
Jalen Suggs,threes,2.5,UNDER,2.3,17.6,70.0,30.0,No,0
Jake LaRavia,points,4.5,OVER,6.8,17.6,70.0,30.0,No,2
Deandre Ayton,points,13.5,OVER,15.3,17.6,70.0,30.0,No,2
Cason Wallace,rebounds,3.5,UNDER,3.1,17.6,70.0,30.0,No,2
Jalen Brunson,rebounds,3.5,UNDER,2.6,17.6,70.0,30.0,No,0
Anthony Black,threes,1.5,UNDER,1.2,17.6,70.0,30.0,No,0
Karl-Anthony Towns,threes,2.5,UNDER,1.9,17.6,70.0,30.0,No,0
Jalen Suggs,points,17.5,UNDER,17.8,17.6,70.0,30.0,No,0
De'Aaron Fox,points,22.5,OVER,23.8,17.3,69.7,30.0,Yes,1
De'Aaron Fox,points,23.5,OVER,23.8,17.3,69.7,30.0,Yes,1
Stephon Castle,points,15.5,OVER,15.7,15.5,67.9,30.0,Yes,1
Oso Ighodaro,points,4.5,UNDER,5.6,14.4,66.8,30.0,Yes,1
Devin Vassell,rebounds,3.5,UNDER,3.8,14.4,66.8,30.0,Yes,1
Paolo Banchero,rebounds,6.5,OVER,7.1,14.3,66.7,30.0,No,0
OG Anunoby,threes,1.5,OVER,2.1,14.3,66.7,30.0,No,0
Paolo Banchero,threes,1.5,UNDER,1.5,14.3,66.7,30.0,No,0
Luguentz Dort,points,7.5,UNDER,8.9,14.3,66.7,30.0,No,9
Luguentz Dort,threes,1.5,UNDER,2.0,14.3,66.7,30.0,No,9
Alex Caruso,points,4.5,OVER,5.7,14.3,66.7,30.0,No,11
Keldon Johnson,rebounds,5.5,OVER,6.6,14.1,66.5,30.0,Yes,1
Julian Champagnie,threes,1.5,OVER,2.7,14.1,66.5,30.0,Yes,1
Mark Williams,points,9.5,OVER,14.0,14.1,66.5,30.0,Yes,1
Royce O'Neale,rebounds,4.5,OVER,5.1,14.1,66.5,30.0,Yes,1
Devin Vassell,points,14.5,OVER,17.0,14.1,66.5,30.0,Yes,1
Wendell Carter Jr,points,10.5,OVER,10.7,12.6,65.0,30.0,No,0
Anthony Black,points,15.5,UNDER,15.0,12.6,65.0,30.0,No,0
Rui Hachimura,rebounds,4.5,UNDER,4.2,12.6,65.0,30.0,No,2
Luka Doncic,points,33.5,OVER,35.3,12.3,64.7,30.0,No,2
Luka Doncic,rebounds,8.5,OVER,9.8,12.3,64.7,30.0,No,2
Marcus Smart,rebounds,1.5,OVER,2.8,11.9,64.3,30.0,No,14
De'Aaron Fox,rebounds,3.5,OVER,3.7,11.0,63.3,30.0,Yes,1
Dillon Brooks,threes,2.5,UNDER,1.9,10.7,63.1,30.0,Yes,1
De'Aaron Fox,threes,2.5,UNDER,2.3,9.6,62.0,30.0,Yes,1
Devin Vassell,points,15.5,UNDER,17.0,9.6,62.0,30.0,Yes,1
Luke Kornet,points,7.5,UNDER,6.1,9.6,62.0,30.0,Yes,1
Stephon Castle,threes,0.5,OVER,0.7,8.7,61.1,30.0,Yes,1
Josh Hart,rebounds,8.5,UNDER,9.2,7.6,60.0,30.0,No,0
Austin Reaves,rebounds,4.5,OVER,5.9,7.6,60.0,30.0,No,2
Desmond Bane,threes,1.5,OVER,2.3,7.6,60.0,30.0,No,0
Mikal Bridges,threes,2.5,UNDER,2.2,7.6,60.0,30.0,No,0
Devin Booker,points,22.5,OVER,22.4,7.6,60.0,30.0,No,8
Josh Hart,threes,1.5,UNDER,2.3,7.6,60.0,30.0,No,0
Devin Booker,points,21.5,OVER,22.4,7.6,60.0,30.0,No,8
Luguentz Dort,rebounds,3.5,OVER,3.4,7.6,60.0,30.0,No,9
Chet Holmgren,points,17.5,OVER,18.8,7.6,60.0,30.0,No,2
Mikal Bridges,points,14.5,OVER,16.9,7.6,60.0,30.0,No,0
Jalen Brunson,points,28.5,OVER,29.4,7.6,60.0,30.0,No,0
Grayson Allen,threes,2.5,OVER,3.3,7.0,59.4,30.0,Yes,1
Dylan Harper,points,12.5,OVER,12.3,6.1,58.5,30.0,Yes,1
Dylan Harper,rebounds,2.5,OVER,2.5,6.1,58.5,30.0,Yes,1
Dylan Harper,threes,0.5,OVER,0.7,6.1,58.5,30.0,Yes,1
Dillon Brooks,points,18.5,OVER,21.2,5.7,58.1,29.79,Yes,1
