player,prop_type,line,projection,raw_edge,avg_edge,confidence,grade,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Bobby Portis,rebounds,8.5,6.3,-25.8,58.6,80.0,101.5,UNDER,6.8,5.8,12.0,88.0,HOT,26,bovada,175,36.4,95.0,Rested: 1.03x,False,1.06
Ryan Rollins,assists,7.5,6.7,-10.5,49.4,77.0,98.6,UNDER,6.6,6.0,23.0,77.0,HOT,26,bovada,205,32.8,82.2,Rested: 1.03x,False,0.96
Vit Krejci,assists,2.5,1.8,-26.9,49.0,66.0,91.0,UNDER,1.6,1.8,23.0,77.0,COLD,22,betmgm,140,41.7,90.7,,False,1.06
Gary Trent Jr,rebounds,2.5,1.3,-46.1,52.3,63.0,89.5,UNDER,1.2,1.3,12.0,88.0,COLD,26,betonlineag,134,42.7,95.0,Home: 1.09x | Rested: 1.03x,False,0.96
Bobby Portis,rebounds,7.5,6.3,-16.0,33.2,76.0,82.9,UNDER,6.8,5.8,27.0,73.0,HOT,26,betonlineag,109,47.8,81.1,Rested: 1.03x,False,1.06
Dyson Daniels,rebounds,7.5,6.0,-20.6,34.7,72.0,81.5,UNDER,5.4,6.3,42.0,58.0,COLD,26,bovada,200,33.3,68.0,,False,1.03
De'Andre Hunter,rebounds,4.5,3.5,-21.3,29.1,73.0,76.8,UNDER,3.2,4.3,36.0,64.0,COLD,22,draftkings,121,45.2,74.3,,False,0.97
Gary Trent Jr,points,13.5,9.9,-26.5,57.0,74.0,76.1,UNDER,9.4,9.8,19.0,81.0,NEUTRAL,26,bovada,170,37.0,94.0,Rested: 1.03x,False,0.96
De'Andre Hunter,assists,2.5,1.7,-31.6,39.3,58.0,75.9,UNDER,1.6,2.4,36.0,64.0,COLD,22,betonlineag,149,40.2,79.4,Home: 0.94x,False,0.97
Dyson Daniels,assists,6.5,5.6,-13.7,30.6,69.0,75.7,UNDER,4.6,5.7,35.0,65.0,COLD,26,bovada,140,41.7,72.3,Home: 1.06x,False,1.03
Ryan Rollins,points,21.5,17.0,-21.0,47.0,74.0,73.9,UNDER,14.4,17.2,31.0,69.0,COLD,26,bovada,205,32.8,79.7,Home: 1.06x | Rested: 1.03x,False,0.96
Jalen Johnson,points,28.5,28.4,-0.3,42.7,79.0,73.4,UNDER,28.0,23.2,22.0,78.0,HOT,23,bovada,180,35.7,78.4,Mins: 1.10x,False,1.1
Noah Clowney,rebounds,3.5,5.5,57.0,28.7,66.0,71.8,OVER,4.6,3.8,62.0,38.0,HOT,24,betrivers,-165,62.3,91.0,Home: 1.16x | Mins: 1.14x,False,1.14
Noah Clowney,assists,1.5,2.8,84.5,33.5,59.0,71.7,OVER,2.6,1.8,58.0,42.0,HOT,24,betmgm,-160,61.5,95.0,Home: 1.09x | Mins: 1.14x,False,1.14
De'Andre Hunter,points,18.5,13.3,-28.0,44.4,71.0,70.3,UNDER,11.0,15.9,32.0,68.0,COLD,22,bovada,165,37.7,82.2,,False,0.97
Ryan Rollins,points,20.5,17.0,-17.2,40.1,74.0,69.0,UNDER,14.4,17.2,31.0,69.0,COLD,26,bovada,165,37.7,77.8,Home: 1.06x | Rested: 1.03x,False,0.96
Jalen Johnson,threes,2.5,2.5,-1.4,46.7,58.0,68.4,UNDER,2.4,1.6,22.0,78.0,HOT,23,bovada,210,32.3,79.0,Home: 1.07x | Mins: 1.10x,False,1.1
Onyeka Okongwu,assists,2.5,3.5,40.8,23.9,67.0,68.0,OVER,4.0,3.0,60.0,40.0,HOT,25,williamhill_us,-130,56.5,80.4,,False,1.06
Joel Embiid,points,28.5,25.7,-9.9,49.2,57.0,66.4,UNDER,22.8,20.3,20.0,80.0,HOT,10,bovada,180,35.7,84.9,Home: 1.08x | Mins: 1.11x,False,1.11
Day'Ron Sharpe,assists,2.5,2.1,-15.9,28.0,59.0,66.4,UNDER,2.4,1.8,39.0,61.0,HOT,23,betmgm,145,40.8,68.8,,False,0.98
De'Andre Hunter,threes,2.5,1.8,-27.5,41.6,59.0,65.0,UNDER,1.2,2.0,32.0,68.0,COLD,22,fanduel,148,40.3,81.9,,False,0.97
Gary Trent Jr,points,12.5,9.9,-20.6,36.0,71.0,64.2,UNDER,9.4,9.8,31.0,69.0,NEUTRAL,26,bovada,130,43.5,79.5,Rested: 1.03x,False,0.96
Bobby Portis,threes,1.5,3.2,113.7,41.5,56.0,63.5,OVER,2.8,1.8,54.0,46.0,HOT,26,fanduel,-115,53.5,95.0,Home: 1.25x | Rested: 1.03x,False,1.06
Vit Krejci,points,11.5,8.5,-26.2,44.0,57.0,62.5,UNDER,9.0,10.0,36.0,64.0,COLD,22,bovada,205,32.8,76.7,Home: 0.90x,False,1.06
