player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
DeMar DeRozan,rebounds,3.5,2.9,-15.8,12.3,65.0,UNDER,4.0,3.2,35.0,65.0,HOT,26,fanduel,114,-146,114,46.7,44.1,59.1,Home: 0.81x | Rested: 1.03x,False,4,0.97,STABLE,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Buddy Hield,points,7.5,10.7,43.1,12.3,60.0,OVER,10.4,8.0,59.0,41.0,HOT,27,fanduel,108,108,-138,48.1,45.3,60.3,Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Jett Howard,points,9.5,7.4,-21.8,12.3,47.0,UNDER,10.2,5.4,12.0,88.0,HOT,17,fanduel,104,-132,104,49.0,46.3,61.3,Home: 0.76x | Rested: 1.03x | Mins: 1.15x,False,5,1.35,UP,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,No player news found,
Klay Thompson,threes,2.5,3.5,41.5,12.3,61.0,OVER,3.2,2.8,56.0,44.0,HOT,25,fanduel,140,140,-188,41.7,39.0,54.0,Home: 1.07x | Rested: 1.03x,False,3,0.99,STABLE,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DET,24,HARD,14,16,NO_NEWS,,,No player news found,
Duncan Robinson,threes,2.5,2.8,11.2,12.2,70.0,OVER,2.6,3.0,71.0,29.0,COLD,24,fanduel,134,134,-180,42.7,39.9,54.9,Home: 1.09x | Rested: 1.03x | Mins: 0.88x,False,3,0.88,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Bruce Brown,points,8.5,6.4,-24.6,12.2,64.0,UNDER,7.4,6.6,32.0,68.0,HOT,25,fanduel,102,-130,102,49.5,46.7,61.7,Home: 0.83x | Rested: 1.03x | Mins: 1.10x,False,3,1.1,UP,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,ORL,19,NEUTRAL,23,11,NO_NEWS,,,No player news found,
Jaxson Hayes,rebounds,6.5,4.4,-32.9,12.1,76.0,UNDER,5.0,4.2,9.0,91.0,HOT,22,fanduel,-104,-122,-104,51.0,48.1,63.1,Home: 0.93x | Rested: 1.03x,False,4,0.91,DOWN,Los Angeles Lakers @ Utah Jazz,Utah Jazz,Los Angeles Lakers,UTA,4,SMASH,25,3,NO_NEWS,,,No player news found,
Tyus Jones,points,6.5,2.7,-58.5,12.1,57.0,UNDER,4.2,2.4,12.0,88.0,HOT,26,fanduel,100,-128,100,50.0,47.1,62.1,Home: 0.75x | Rested: 1.03x,False,5,1.01,STABLE,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,No player news found,
Anthony Black,pra,25.5,25.2,-1.2,12.0,80.0,UNDER,23.8,20.3,19.0,81.0,HOT,26,fanduel,-111,-115,-111,52.6,49.6,64.6,Home: 0.93x | Rested: 1.03x | Mins: 1.12x,False,5,1.12,UP,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,DEN,15,NEUTRAL,11,23,NO_NEWS,,,,
Jonas Valanciunas,points,7.5,8.6,15.3,12.0,76.0,OVER,9.6,8.4,72.0,28.0,HOT,25,fanduel,-111,-111,-115,52.6,49.6,64.6,Home: 0.95x | Rested: 1.03x,False,3,1.08,UP,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,ORL,19,NEUTRAL,23,11,NO_NEWS,,,No player news found,
